symbol,percentage,number_of_dates
VCM,5.1,43
ACS,5.13,37
PXA,5.15,11
VIF,5.15,46
VHL,5.21,45
C22,5.22,2
NT2,5.22,58
SGO,5.22,11
SSH,5.25,58
DCH,5.29,5
PCC,5.29,46
VCA,5.31,58
PTI,5.32,56
EVS,5.35,58
HAS,5.35,58
DFF,5.36,58
QSP,5.36,40
V11,5.36,11
BSP,5.37,16
TDF,5.37,23
LMH,5.38,58
BDT,5.39,36
PLE,5.39,6
LIX,5.41,58
BCA,5.44,58
BTD,5.45,55
PDR,5.45,58
DBC,5.49,58
ABI,5.5,58
ILS,5.5,40
SAV,5.5,58
WSB,5.53,58
PVM,5.54,58
NAB,5.55,58
VBB,5.55,58
LM8,5.57,58
NNT,5.57,26
SJS,5.57,58
PHH,5.58,7
DBD,5.59,58
VCP,5.59,44
CFM,5.61,58
DTP,5.62,52
GMC,5.62,46
VHM,5.62,58
WCS,5.62,45
HUB,5.63,58
DOP,5.64,27
PIC,5.67,55
DNM,5.68,58
LGC,5.69,42
SBH,5.69,33
VLB,5.69,58
VIB,5.71,58
NNC,5.72,58
VSA,5.72,43
HIG,5.73,58
ASG,5.77,58
BVB,5.78,58
HRB,5.79,5
ABB,5.82,58
CTG,5.82,58
ND2,5.83,35
A32,5.84,42
GTA,5.84,58
PVE,5.85,11
CTA,5.86,11
TVT,5.87,57
SJE,5.9,41
VSN,5.9,53
SC5,5.92,54
BHT,5.94,5
TDT,5.94,58
PPY,5.95,55
VLW,5.95,4
VC6,5.96,51
CAT,5.98,54
HHV,6.01,49
DHC,6.09,58
VTG,6.09,4
LKW,6.1,33
LPB,6.11,58
TVP,6.11,36
BBT,6.12,50
NTP,6.13,58
HTL,6.15,42
ICT,6.15,58
RAL,6.15,58
AG1,6.17,58
GND,6.17,52
TCR,6.18,58
TSG,6.18,6
SII,6.19,56
SSB,6.19,58
KDH,6.2,58
TDG,6.2,58
TRA,6.2,57
VTA,6.2,52
ACV,6.22,58
AMC,6.24,38
HCC,6.24,51
SSC,6.24,35
HDO,6.25,11
KSV,6.25,54
PAI,6.25,2
BMP,6.26,58
CLL,6.28,58
HKB,6.3,11
PVI,6.3,58
ABR,6.31,46
NAP,6.31,22
KOS,6.32,58
THP,6.32,53
TMX,6.32,45
VC3,6.35,58
VCF,6.36,21
SKV,6.38,58
CCM,6.39,38
DCR,6.41,56
BDW,6.42,5
TRS,6.42,29
BTT,6.43,46
DSG,6.43,58
HAM,6.44,26
PVY,6.44,11
APF,6.46,58
LCS,6.47,11
DHA,6.48,58
NBT,6.49,47
ABC,6.5,58
HD8,6.5,55
TTT,6.5,23
GLT,6.51,42
C21,6.53,58
AIC,6.56,58
PLX,6.56,58
TIE,6.56,58
DHD,6.57,30
GAB,6.57,54
DZM,6.59,58
TV2,6.59,58
VIH,6.59,7
MSH,6.6,58
TPB,6.6,58
PGT,6.61,58
BAX,6.65,53
XLV,6.66,34
ILA,6.67,58
PBC,6.67,58
STB,6.67,58
BAL,6.72,52
KHA,6.74,41
X26,6.74,4
POT,6.75,54
HDB,6.76,58
SJC,6.76,11
VTZ,6.76,58
IST,6.77,37
NHP,6.77,11
CSM,6.78,58
DSV,6.78,9
CRC,6.81,58
HU6,6.81,58
PJC,6.81,42
PMJ,6.81,13
VCR,6.81,58
SAC,6.82,48
DCS,6.83,11
VTK,6.84,57
MFS,6.85,57
SBM,6.85,16
VE8,6.86,55
VRE,6.86,58
HKT,6.87,58
MTA,6.87,58
BGW,6.88,4
FPT,6.92,58
VNY,6.92,11
DTC,6.93,57
SMA,6.93,58
NST,6.94,58
GE2,6.95,30
G20,6.96,11
LM7,6.96,58
SRC,6.98,58
DAS,6.99,9
DP3,6.99,50
KCE,6.99,20
HLA,7.0,11
MTV,7.02,27
MVB,7.02,57
TEG,7.02,58
ACM,7.03,11
HBH,7.03,55
BRC,7.04,57
CLX,7.04,58
GHC,7.04,58
SPI,7.07,58
CTR,7.08,52
ALT,7.09,37
PVV,7.09,11
SHP,7.11,57
SLS,7.11,58
SGR,7.12,58
AVF,7.14,11
C47,7.15,58
DTD,7.15,58
PVP,7.17,58
TL4,7.17,58
VNS,7.18,58
HTE,7.22,58
NAS,7.22,30
PNT,7.22,48
VPD,7.22,58
TRC,7.25,51
VTP,7.25,58
X20,7.25,46
SRT,7.26,58
NTC,7.27,58
VCG,7.27,58
NDP,7.33,22
MTL,7.35,42
HPT,7.37,47
IJC,7.41,58
TKC,7.42,56
ONW,7.43,2
SBL,7.43,28
NTH,7.44,45
CTP,7.45,58
PGV,7.45,50
SIG,7.45,54
VTL,7.45,12
NCS,7.46,57
TLG,7.46,58
CGV,7.47,58
QTP,7.48,58
DDN,7.51,58
HPX,7.54,58
LTC,7.54,11
FRC,7.56,17
TTA,7.56,58
CTF,7.57,58
EFI,7.57,11
CTB,7.58,37
USD,7.58,25
AAA,7.59,58
CIP,7.59,58
DPH,7.59,42
HVH,7.59,58
NDF,7.59,11
PXM,7.59,11
AGF,7.6,11
KHL,7.6,11
MPC,7.6,58
SSI,7.6,58
VNB,7.61,58
VGI,7.62,58
DC4,7.63,58
VCB,7.64,58
TS3,7.65,52
PSL,7.68,57
ADC,7.7,42
DSC,7.7,58
NHH,7.72,58
BBS,7.73,38
HWS,7.74,43
THD,7.74,58
VNM,7.74,58
FIT,7.75,58
HRT,7.75,58
DGT,7.76,58
SIV,7.77,14
TDM,7.77,58
SGS,7.78,50
VSI,7.78,42
BIC,7.79,58
HDA,7.8,58
HTT,7.8,11
CNC,7.82,48
VPB,7.85,58
PGC,7.86,58
YBM,7.87,58
AMS,7.89,58
STP,7.92,57
TNM,7.92,5
MKV,7.94,48
TIN,7.94,58
KGM,7.95,13
LEC,7.95,53
MST,7.95,58
PGN,7.96,58
VTR,7.98,11
MML,7.99,56
PTB,7.99,58
DAE,8.01,37
BTB,8.02,57
DHM,8.02,58
HSL,8.03,58
PCM,8.03,49
MCC,8.04,8
GAS,8.05,58
HJS,8.05,26
KBC,8.06,58
HUG,8.07,44
DHG,8.08,58
L44,8.1,11
TOW,8.1,10
HDW,8.11,26
NAG,8.11,58
CVT,8.12,46
QST,8.12,7
VPI,8.12,58
ACC,8.13,58
APH,8.13,58
DTK,8.13,55
HVN,8.13,58
DCL,8.14,58
CDR,8.17,42
STK,8.17,58
VCC,8.17,58
PHR,8.2,58
HMS,8.21,58
CSC,8.22,58
SAB,8.23,58
SDT,8.23,58
BHA,8.25,48
S4A,8.25,52
VES,8.26,9
TDS,8.27,57
YTC,8.32,7
B82,8.33,11
HII,8.34,58
MSN,8.34,58
AME,8.36,58
D11,8.36,58
ICF,8.38,11
C92,8.39,58
BTN,8.41,58
CTX,8.42,11
AFX,8.43,58
TDB,8.43,13
ST8,8.45,57
ISH,8.46,28
SAS,8.46,58
VET,8.47,52
CTT,8.48,31
HCM,8.48,58
BVH,8.49,58
VDN,8.49,4
SPP,8.5,11
TTC,8.51,54
TOT,8.52,50
PDV,8.53,58
TTS,8.55,36
ICC,8.59,15
OIL,8.6,58
PTD,8.6,9
BLT,8.62,31
PIV,8.62,11
BVS,8.64,58
VSG,8.65,11
DTI,8.66,56
ASA,8.7,3
BCF,8.7,22
HBC,8.71,58
KPF,8.71,58
MVN,8.71,58
SRF,8.71,56
TCH,8.71,58
NDX,8.73,58
C69,8.74,58
PMG,8.74,58
DC2,8.77,58
HNM,8.78,11
IDV,8.78,58
L12,8.78,58
QTC,8.78,38
KHS,8.79,41
VIW,8.81,34
AGX,8.82,25
HVT,8.82,56
NAV,8.84,57
TMT,8.85,58
LCD,8.86,8
SAM,8.86,58
TNA,8.86,58
HAT,8.88,36
MCF,8.88,57
DBT,8.89,58
DTA,8.9,58
SDC,8.9,35
DVC,8.93,34
KHD,8.93,56
PGI,8.93,58
AVC,8.94,42
BTW,8.95,24
DC1,8.95,50
TDW,8.96,26
NTL,8.97,58
AGR,8.98,58
MRF,8.98,22
SHA,8.98,58
VOC,8.98,58
PLO,9.0,9
FOC,9.02,57
HTM,9.03,53
EIB,9.04,58
HD2,9.04,58
MEL,9.04,58
GVT,9.06,26
DWS,9.07,37
VCX,9.08,57
DNC,9.09,21
VLF,9.09,11
VNI,9.1,10
BVL,9.11,50
EMS,9.11,40
UDC,9.11,58
INN,9.12,58
TTL,9.12,58
PAN,9.16,58
APC,9.17,58
PNJ,9.17,58
POW,9.18,58
TV3,9.19,58
HSV,9.2,58
VTC,9.2,53
MHC,9.21,58
SED,9.22,54
DPC,9.24,17
INC,9.24,42
PSP,9.24,58
HCB,9.25,29
SVI,9.25,18
PNC,9.26,42
SHG,9.27,11
VIC,9.27,58
EIN,9.29,58
VCI,9.3,58
L62,9.31,58
VNL,9.31,58
TCM,9.32,58
AAM,9.33,58
HNG,9.33,58
PSC,9.33,29
TDC,9.33,58
BWE,9.34,58
ICN,9.34,29
SGN,9.34,58
SDK,9.38,24
NBP,9.39,26
S72,9.39,54
HNF,9.4,40
BKG,9.47,58
HPD,9.47,47
VFR,9.48,51
GSP,9.5,58
VIR,9.5,8
PIA,9.51,44
CCR,9.53,58
LHG,9.53,58
QNC,9.54,58
TTN,9.54,58
AGP,9.55,58
MTS,9.56,38
CPI,9.57,11
CYC,9.57,8
PHC,9.57,58
CMT,9.58,58
SFI,9.58,58
PPP,9.59,58
TPP,9.6,55
BHC,9.61,10
HAC,9.62,58
EPH,9.63,28
NUE,9.63,42
TCO,9.66,58
CBS,9.68,58
HEJ,9.69,58
BHN,9.71,58
DCT,9.71,11
GEX,9.71,58
BSL,9.73,53
ADP,9.74,53
ALV,9.74,11
RGC,9.77,58
SID,9.77,54
CKA,9.78,23
VE4,9.78,11
NED,9.79,58
EBS,9.8,48
HBD,9.81,20
BBC,9.82,52
SZL,9.83,58
TBH,9.84,11
VIT,9.84,58
ACE,9.85,56
SNZ,9.85,58
AST,9.86,58
BT6,9.87,11
DTL,9.87,55
HEC,9.87,27
NLG,9.88,58
CDN,9.89,58
TTZ,9.89,58
VJC,9.89,58
WSS,9.89,58
DS3,9.9,58
SVC,9.91,31
TFC,9.91,53
PGD,9.92,58
VNT,9.92,26
LBM,9.93,58
PRE,9.93,58
VGV,9.94,58
CKD,9.95,27
REE,9.95,58
BNA,9.96,58
CMV,9.96,50
EMC,10.0,57
GTT,10.0,11
MPT,10.0,11
PID,10.0,10
PPI,10.0,11
TS4,10.0,11
TTG,10.0,58
PWS,10.01,23
SDV,10.02,39
SHI,10.05,58
RIC,10.09,57
VGT,10.1,58
TOS,10.11,51
BLF,10.12,11
BPC,10.14,46
CMC,10.14,58
CTS,10.14,58
PPH,10.14,58
CAN,10.16,45
GKM,10.16,58
HEM,10.16,38
HSP,10.17,25
KSH,10.17,11
CET,10.19,58
VNR,10.2,58
KTS,10.22,58
SSN,10.24,58
C32,10.25,58
DP2,10.25,10
EVF,10.25,52
CNN,10.26,17
PJT,10.29,58
S12,10.29,11
VLC,10.31,58
HU1,10.32,53
VSC,10.32,58
ISG,10.33,7
SHB,10.33,58
SAF,10.34,26
CAG,10.35,58
VTX,10.35,22
MLS,10.36,58
SD5,10.36,58
DTV,10.37,10
TOP,10.37,11
SD7,10.39,58
HLD,10.4,58
PVD,10.41,58
QHD,10.41,30
THG,10.41,58
TUG,10.41,18
BMS,10.43,58
DNH,10.45,19
PRT,10.45,58
DXS,10.46,58
CTD,10.48,58
TID,10.48,58
VDT,10.48,4
DFC,10.49,16
EVG,10.49,58
DDG,10.5,58
HGM,10.5,18
PVX,10.5,11
S99,10.5,58
TA9,10.5,58
CBI,10.51,58
TPC,10.53,54
TTB,10.53,58
PGS,10.54,58
SBT,10.54,58
BQB,10.56,57
PGB,10.56,58
L45,10.57,55
KMT,10.59,55
HNB,10.6,31
HPG,10.6,58
EVE,10.61,58
PSN,10.62,20
ATA,10.64,11
BSR,10.64,58
HTN,10.64,58
VIM,10.64,34
SEA,10.66,58
VGC,10.66,58
MIC,10.67,57
TIP,10.68,58
DNP,10.69,58
TR1,10.69,35
VEC,10.69,58
TXM,10.7,58
LIC,10.73,58
VNE,10.74,58
NHC,10.75,25
ELC,10.76,58
SCC,10.76,55
CMI,10.77,11
HTC,10.77,36
NBE,10.77,56
DTE,10.78,58
NQN,10.78,12
HHP,10.79,58
CAD,10.81,11
NSC,10.82,58
VDS,10.82,58
L63,10.83,56
VNP,10.83,58
PWA,10.84,58
GVR,10.85,58
BRR,10.87,47
NTB,10.87,11
S96,10.87,11
MH3,10.88,47
MDF,10.89,56
DAT,10.9,56
VPG,10.9,58
SEB,10.91,21
STC,10.91,40
APG,10.92,58
THB,10.94,17
HVA,10.95,58
LGL,10.96,58
BTV,10.97,34
CRE,10.97,58
SD4,11.0,58
SVG,11.0,55
SGT,11.04,58
PV2,11.05,58
L40,11.07,47
QHW,11.07,29
IVS,11.1,58
VE9,11.12,58
VTH,11.13,28
CNG,11.14,58
ONE,11.15,58
PCT,11.15,58
QPH,11.16,35
TLD,11.16,58
CLH,11.2,58
SBR,11.21,35
L35,11.22,49
AAV,11.24,58
POM,11.24,58
DBM,11.27,23
TBT,11.27,6
KMR,11.28,58
LAF,11.29,41
IFS,11.3,47
HU3,11.31,58
VSF,11.31,11
BCP,11.33,57
MIM,11.33,42
SD6,11.33,58
VSE,11.37,58
AGG,11.38,58
DP1,11.39,51
IPA,11.39,58
DSP,11.4,26
HBS,11.41,58
PIS,11.41,34
GMH,11.43,52
PTE,11.43,10
KCB,11.44,58
PLC,11.44,58
SVT,11.46,58
HOT,11.48,31
PVT,11.48,58
VC9,11.49,58
BLN,11.5,58
LCG,11.5,58
MGG,11.5,36
NBW,11.52,44
TCD,11.52,58
TKU,11.53,56
HU4,11.55,58
SGH,11.55,18
PLP,11.56,58
MBB,11.58,58
SHS,11.58,58
UNI,11.58,58
AAT,11.64,58
ITS,11.64,58
TLP,11.64,55
HGW,11.66,29
APP,11.67,58
HMC,11.68,58
TMP,11.68,54
SPM,11.69,56
TTP,11.76,14
GIL,11.78,58
QNT,11.79,16
MIG,11.8,58
PTS,11.81,58
DVN,11.84,58
SDN,11.84,41
MNB,11.87,22
ORS,11.87,58
V21,11.88,58
UPH,11.92,18
SHE,11.93,58
API,11.95,58
DRG,11.95,58
CCL,11.96,58
HNI,11.96,39
SPV,11.97,29
PEG,11.99,52
SDU,12.0,41
VAF,12.01,52
CQT,12.06,57
HCD,12.09,58
PVA,12.12,11
SBD,12.12,22
VBH,12.15,26
HVG,12.16,11
TA3,12.16,28
KTL,12.17,25
LIG,12.18,58
PSI,12.19,58
ODE,12.23,54
CMS,12.24,58
VIG,12.25,58
GCB,12.26,10
S74,12.26,30
VNC,12.29,44
VIP,12.3,58
DLG,12.31,58
SBS,12.32,58
BSG,12.33,53
TCI,12.33,58
SPB,12.35,6
SFG,12.37,57
BCM,12.38,58
DPR,12.38,58
PVS,12.38,58
COM,12.39,49
XPH,12.39,48
VC1,12.4,58
S55,12.43,54
CVN,12.46,58
LBC,12.48,5
PXL,12.48,58
VIN,12.49,41
BXH,12.5,15
CNT,12.5,57
CCV,12.51,7
NNG,12.51,58
HAX,12.57,58
TVS,12.58,58
ABS,12.6,58
ILC,12.6,45
SZC,12.6,58
ABT,12.61,53
PAP,12.62,36
PND,12.62,17
THT,12.64,58
SD8,12.65,11
SSM,12.65,53
HVX,12.66,58
DTT,12.67,23
HHS,12.67,58
HES,12.69,12
PNG,12.69,6
LLM,12.71,58
M10,12.71,53
THW,12.72,3
VMS,12.72,53
PHN,12.73,28
HAF,12.74,44
PLA,12.74,56
DRC,12.76,58
MBS,12.78,58
NS2,12.78,49
TDH,12.78,58
CTI,12.79,58
HFB,12.81,15
VTJ,12.81,52
HTP,12.85,58
PVH,12.86,11
SDY,12.86,11
PPE,12.87,52
PIT,12.89,58
TMG,12.9,19
MEC,12.91,11
RDP,12.95,58
POS,12.99,58
TMS,13.01,58
TA6,13.02,18
HPM,13.03,28
HAN,13.05,58
RCL,13.05,56
HSI,13.06,11
RCC,13.07,30
SDB,13.08,11
L61,13.09,41
NAF,13.09,58
BDB,13.11,16
BMI,13.12,58
PSG,13.12,11
KSQ,13.14,58
LG9,13.18,46
PTL,13.18,58
AMV,13.19,58
MA1,13.23,20
FIC,13.24,55
PVB,13.24,58
HDG,13.26,58
HLG,13.26,11
SVN,13.27,58
BSQ,13.3,56
FMC,13.3,58
C12,13.33,10
HAV,13.33,49
TJC,13.35,39
BCE,13.37,58
BMF,13.38,36
DIH,13.41,58
HPW,13.43,20
KLB,13.43,58
BST,13.44,38
SD3,13.44,58
TVB,13.47,58
DST,13.48,58
IDC,13.48,58
NBB,13.48,58
PHP,13.48,58
TIS,13.48,58
VLG,13.48,58
TNT,13.5,58
SRA,13.52,58
VGP,13.53,31
BSI,13.54,58
CST,13.54,58
LDP,13.54,58
MAS,13.54,43
PEN,13.54,52
CQN,13.57,45
SD9,13.58,58
TBD,13.58,29
PSH,13.6,58
QLT,13.6,40
TGP,13.6,54
SJM,13.63,57
GTS,13.64,29
TIG,13.64,58
TVN,13.69,58
NDT,13.7,58
MIE,13.71,18
CMD,13.72,8
MTC,13.73,14
CIA,13.74,58
BSD,13.76,5
CDP,13.76,58
VTS,13.76,17
CT3,13.77,16
QCC,13.77,47
BIO,13.78,57
TNC,13.78,28
BTS,13.8,58
HMG,13.8,12
HMH,13.8,58
LTG,13.8,58
NFC,13.81,43
CSI,13.82,58
FID,13.82,58
VRG,13.83,58
SFN,13.85,49
BID,13.86,58
PVR,13.87,11
SPC,13.87,50
CLG,13.89,11
ITA,13.91,58
XHC,13.91,6
VTO,13.95,58
MBG,13.97,58
VHE,13.97,58
SJG,13.98,58
VFC,13.98,54
FTS,13.99,58
VIE,13.99,55
KDM,14.0,58
SDP,14.0,54
TV6,14.0,54
SCI,14.01,58
CMG,14.02,58
VMG,14.02,57
ATS,14.04,31
MCO,14.04,58
VEF,14.04,58
BTU,14.06,26
LO5,14.06,11
RTB,14.07,58
NVB,14.09,58
HT1,14.11,58
MCG,14.12,58
TNG,14.12,58
GTH,14.15,53
XMC,14.16,58
CX8,14.17,37
LAI,14.18,18
BRS,14.19,28
KIP,14.19,34
PMT,14.2,51
DTB,14.22,6
FCM,14.23,58
ICG,14.23,58
LM3,14.25,11
TRT,14.26,7
BHK,14.3,6
TAR,14.3,58
VGR,14.3,35
TNI,14.31,58
ITC,14.32,58
ICI,14.33,53
DRH,14.35,58
TSC,14.35,58
ADS,14.37,58
DXP,14.39,58
CLW,14.41,28
SZB,14.41,58
BTH,14.43,15
KSD,14.43,58
HAP,14.44,58
VIX,14.44,58
VNG,14.44,58
HDP,14.46,58
MAC,14.46,58
DWC,14.48,36
FCN,14.48,58
MVC,14.49,58
VCW,14.5,18
KHG,14.51,58
DND,14.53,39
HAI,14.55,58
DRI,14.58,58
HOM,14.58,58
TST,14.58,21
EME,14.59,5
DTG,14.6,38
VNH,14.6,58
NVT,14.63,58
L43,14.7,57
RAT,14.71,27
APS,14.73,58
HSM,14.74,24
QCG,14.74,58
TVM,14.74,22
VTV,14.75,58
PXS,14.76,58
SMC,14.76,58
ACL,14.81,58
HSG,14.81,58
G36,14.83,58
DDM,14.85,11
TNH,14.85,58
FLC,14.86,58
VNF,14.91,58
CCP,14.93,24
TMC,14.94,56
HQC,14.95,58
SCL,14.95,58
TSB,14.95,50
SDJ,14.96,55
TSJ,14.98,24
CII,14.99,58
LCC,15.0,4
SRB,15.0,58
SNC,15.02,20
V12,15.02,55
VPH,15.03,58
PMS,15.05,48
HHG,15.1,58
PHS,15.1,54
TDP,15.1,58
ASP,15.11,58
NRC,15.12,58
MDG,15.13,56
DIC,15.14,11
HAG,15.14,58
LUT,15.14,58
VMD,15.14,58
AMD,15.15,58
TLH,15.16,58
DLD,15.17,12
NJC,15.17,23
CMX,15.18,58
VHC,15.18,58
STL,15.2,11
SDD,15.21,58
TVC,15.21,58
HFX,15.22,8
IDP,15.25,40
HEV,15.28,12
BVG,15.29,58
TMB,15.3,57
VE1,15.3,58
VFS,15.31,58
DVG,15.35,58
PC1,15.36,58
ITD,15.39,58
SVD,15.41,58
BBM,15.43,40
VND,15.43,58
SSG,15.44,47
DAN,15.45,45
GGG,15.53,11
ASM,15.54,58
GMD,15.55,58
DLR,15.56,8
LPT,15.58,58
VW3,15.59,34
VST,15.61,11
TNB,15.66,25
APL,15.67,3
CJC,15.67,26
VHG,15.67,58
VC5,15.68,11
MTP,15.69,42
TCT,15.69,58
FTM,15.71,58
PTP,15.71,20
SKN,15.74,23
KLF,15.81,58
MKP,15.83,58
MSR,15.85,58
PMW,15.88,10
BHP,15.91,53
NDN,15.91,58
SJF,15.92,58
VFG,15.92,29
HD6,15.93,58
DNE,15.95,33
MHL,15.98,58
TW3,15.98,32
BCC,15.99,58
YBC,16.0,39
HLC,16.09,58
PSW,16.1,58
JOS,16.11,11
SCJ,16.12,58
SHC,16.14,51
USC,16.17,43
BTG,16.18,27
SD1,16.18,11
DGC,16.19,58
LSS,16.19,58
BMC,16.21,58
HMR,16.22,51
FIR,16.24,58
PCG,16.24,58
BCG,16.26,58
KSB,16.26,58
APT,16.27,6
LBE,16.29,16
ATG,16.31,11
MDC,16.31,57
VAT,16.36,11
NSG,16.38,9
GEG,16.39,58
PSD,16.4,58
NOS,16.43,11
MTH,16.46,27
SD2,16.47,58
TLI,16.51,52
VHD,16.53,55
VDL,16.54,19
MGC,16.55,56
PVG,16.55,58
TDN,16.58,58
CCA,16.62,9
MTG,16.64,58
H11,16.67,53
PDB,16.68,58
PEQ,16.72,21
CPA,16.76,24
VAV,16.8,53
VPA,16.83,55
TTD,16.84,31
GSM,16.87,47
NDC,16.93,17
CMW,16.94,22
TTE,16.98,49
GEE,17.02,18
PTH,17.02,17
DHB,17.03,11
VC2,17.03,58
HPH,17.08,42
SCO,17.11,8
TC6,17.12,58
BFC,17.18,58
HDC,17.22,58
PCN,17.24,11
PNP,17.24,12
SCG,17.25,58
PET,17.26,58
HFC,17.28,40
TTH,17.28,58
CDO,17.32,58
POV,17.33,56
NHA,17.34,58
PAS,17.34,58
PVL,17.34,58
DL1,17.37,58
BSH,17.41,24
KHP,17.43,58
KVC,17.44,58
SDG,17.46,30
TVD,17.5,58
CMN,17.52,31
PTT,17.52,54
SCR,17.52,58
NGC,17.55,10
HEP,17.63,16
