symbol,percentage,number_of_dates
ACG,7.77,40
APF,7.78,64
CAD,7.78,12
IDV,7.8,64
PVL,7.8,64
FOX,7.85,64
EFI,7.86,12
NBP,7.88,60
SPV,7.88,27
HAN,7.89,63
S27,7.89,8
OCH,7.93,64
PNC,7.94,32
RAL,7.96,64
SBL,7.98,53
GND,8.0,59
PXA,8.0,12
AMC,8.01,49
PXL,8.02,23
INC,8.04,25
CMS,8.08,63
BAB,8.09,64
BSC,8.09,12
DNW,8.09,64
HLD,8.09,64
MH3,8.09,49
MCG,8.1,64
SKV,8.11,64
PIC,8.12,49
DHC,8.14,64
HSV,8.14,64
PDR,8.15,64
YBM,8.15,64
CTD,8.17,64
BRC,8.19,64
CIA,8.19,64
SDT,8.19,64
BBC,8.21,53
DXS,8.21,51
HHC,8.22,25
VNS,8.24,47
HPB,8.27,7
TTD,8.28,43
BLI,8.29,62
FPT,8.29,64
HUG,8.29,34
TBC,8.3,64
IST,8.31,54
TA9,8.32,63
KTC,8.33,32
HPM,8.35,5
CC1,8.36,59
DXG,8.36,64
VIC,8.37,64
DNE,8.38,23
HCC,8.38,63
CSM,8.39,64
NUE,8.39,21
SCL,8.39,64
DHA,8.4,64
LGL,8.4,64
TDM,8.4,64
ECI,8.42,5
HII,8.42,64
KDH,8.42,64
LAF,8.42,48
SAC,8.42,21
CLC,8.44,64
NNC,8.47,64
UDL,8.47,3
STB,8.5,64
HDM,8.53,19
TTP,8.54,10
EIB,8.57,64
ND2,8.57,39
NTC,8.57,64
DBD,8.59,64
ITC,8.59,64
MSR,8.59,64
LPB,8.6,64
PMC,8.63,59
TTE,8.63,26
HAT,8.66,52
DNT,8.67,3
M10,8.72,61
KHD,8.73,46
PAC,8.73,64
DXV,8.75,64
HBD,8.75,23
V15,8.75,12
NBE,8.76,60
VOC,8.76,64
SHA,8.78,64
PGD,8.79,59
PGN,8.8,64
VTV,8.81,60
HPP,8.83,64
NTH,8.83,32
ASP,8.85,64
TTF,8.85,64
ACC,8.86,64
NHC,8.86,14
TMX,8.86,34
VNG,8.86,64
PDN,8.87,44
APP,8.88,60
BHA,8.89,44
CII,8.89,64
CMI,8.89,12
PPI,8.89,12
S96,8.89,12
SPP,8.89,12
SVD,8.89,64
VTJ,8.93,64
CJC,8.95,12
HPG,8.95,64
PCT,8.96,54
XMP,8.96,31
V12,8.97,44
NDP,8.99,25
GEX,9.0,64
HAR,9.0,64
VIM,9.0,10
C22,9.03,12
CNC,9.03,49
TLT,9.03,23
ASA,9.04,12
SAB,9.04,64
HDW,9.05,21
TTA,9.05,64
BSR,9.06,64
CGV,9.06,58
NBT,9.06,58
H11,9.09,59
BMI,9.1,64
C92,9.12,64
NTW,9.12,41
NED,9.13,64
OIL,9.13,64
TXM,9.13,63
ACL,9.15,64
PDC,9.15,43
PVD,9.21,64
SFN,9.21,51
VID,9.21,63
CLH,9.23,60
SIV,9.26,24
GCB,9.29,14
GTA,9.29,64
QPH,9.29,25
PTC,9.3,58
PTI,9.32,47
KHG,9.34,49
VSF,9.34,21
PPY,9.36,42
PPS,9.4,64
BLF,9.41,12
EVF,9.41,64
LPT,9.41,64
TEG,9.42,64
HTV,9.43,61
STT,9.44,12
SD6,9.46,64
DBM,9.47,43
VNE,9.47,64
HHS,9.49,64
MED,9.53,37
SJS,9.53,64
POW,9.55,64
HQC,9.57,64
TIP,9.58,64
SFC,9.6,26
VAV,9.61,40
VBB,9.63,64
BLT,9.66,53
VSC,9.66,64
CNT,9.68,42
ABS,9.69,64
SAV,9.69,64
SED,9.69,63
VFG,9.69,22
BNA,9.71,64
CDR,9.71,9
BRR,9.72,62
LTG,9.72,64
SD5,9.72,64
SID,9.73,23
SNZ,9.73,63
DHM,9.74,64
DS3,9.74,64
NAB,9.74,64
POS,9.74,64
SDA,9.75,59
VDL,9.77,29
VEA,9.77,64
CVN,9.8,64
PEN,9.8,33
NAW,9.81,9
KHA,9.82,12
NNG,9.83,56
HLG,9.86,12
DPH,9.87,49
BTG,9.88,3
L10,9.88,51
PVM,9.88,64
KDM,9.89,64
HAX,9.91,64
VPB,9.91,64
PVI,9.92,64
PJT,9.95,64
LDG,9.97,64
VSN,9.97,61
CTA,10.0,12
G20,10.0,12
NFC,10.0,13
PID,10.0,10
SDX,10.0,7
HD6,10.02,13
VC7,10.02,64
BIO,10.04,64
OCB,10.04,64
PBT,10.05,7
PMS,10.05,61
VTL,10.07,19
GHC,10.08,64
PMG,10.08,64
BVH,10.09,64
CAV,10.11,57
CTX,10.11,54
DP3,10.11,51
PEC,10.12,11
FDC,10.13,60
GTS,10.13,45
VSA,10.13,63
CKD,10.14,31
ICT,10.15,64
MCF,10.15,64
CDN,10.16,63
DST,10.16,64
XLV,10.16,41
DSP,10.18,8
BKH,10.2,5
VHL,10.2,43
PVB,10.21,64
SBV,10.21,64
SHE,10.22,59
SGH,10.23,17
CMT,10.25,63
SGB,10.25,64
EVG,10.27,64
S55,10.27,55
TMS,10.28,64
BQB,10.3,32
TNB,10.36,19
VHD,10.37,53
VIB,10.38,64
TCR,10.4,62
DLG,10.43,64
MWG,10.45,64
PLO,10.45,6
TVH,10.46,5
SBD,10.49,35
TTC,10.49,59
NLG,10.5,64
ABI,10.51,64
TRA,10.51,64
VE1,10.51,62
QCG,10.54,64
BWE,10.56,64
PPH,10.59,23
NRC,10.6,64
SPB,10.61,8
LCD,10.62,5
UNI,10.62,29
HVG,10.65,12
RTB,10.65,27
ABB,10.67,64
DAE,10.68,51
VTX,10.68,37
PVG,10.7,64
PVX,10.71,12
DC1,10.72,53
PCN,10.73,9
SDN,10.73,49
HTL,10.74,54
SDK,10.75,39
DHD,10.76,52
PSH,10.76,64
PVO,10.76,64
TSG,10.76,35
SD3,10.77,63
TR1,10.78,35
PWA,10.79,64
EVE,10.8,64
PRT,10.82,44
VCC,10.82,59
HNG,10.83,64
TDP,10.83,64
DMC,10.84,64
TYA,10.84,64
SC5,10.85,48
GE2,10.87,28
SMA,10.87,46
VTK,10.89,58
DBC,10.9,64
ILA,10.9,64
HSP,10.91,13
KTT,10.91,61
VCS,10.91,64
SVC,10.92,34
VGC,10.93,64
AGM,10.96,64
ONE,10.96,64
THW,10.96,4
RDP,10.98,64
HHV,10.99,64
DCS,11.0,12
MPT,11.0,12
PGS,11.02,64
C32,11.03,64
LGC,11.03,27
BKC,11.04,57
STH,11.04,64
CYC,11.05,11
CC4,11.07,10
TKG,11.07,64
VSE,11.07,64
HD8,11.09,57
MTP,11.09,59
KGM,11.1,36
ANT,11.11,55
BVL,11.11,53
CMX,11.11,64
USD,11.11,29
NS2,11.14,36
TNI,11.16,64
VNX,11.17,28
DNC,11.2,15
HGM,11.21,10
KMR,11.22,64
DTB,11.23,4
FIR,11.26,64
QCC,11.27,13
VCW,11.27,15
OGC,11.28,64
BCE,11.29,64
PDB,11.3,64
LCM,11.31,64
THP,11.31,45
HPX,11.32,64
SAF,11.33,13
BCF,11.36,42
PVS,11.36,64
FTM,11.38,64
TNA,11.39,64
TDT,11.4,64
MNB,11.42,27
REE,11.42,64
CLL,11.43,61
L35,11.43,20
TSJ,11.44,16
PTB,11.45,64
HVN,11.48,64
CLM,11.5,13
CQN,11.5,54
CLX,11.51,64
KSD,11.51,63
TPB,11.52,64
CX8,11.53,11
VPI,11.53,64
SCI,11.54,64
SD1,11.54,4
CTI,11.55,64
NSG,11.55,9
TNM,11.56,9
CCI,11.57,63
STC,11.58,57
L62,11.59,35
BBT,11.61,62
CNG,11.61,64
TVG,11.63,3
GIC,11.65,64
NAF,11.65,64
SVN,11.67,64
ACS,11.73,16
SD7,11.75,52
SRB,11.75,64
VNB,11.75,64
NDF,11.76,12
TA3,11.79,10
AGG,11.8,64
VFC,11.8,47
HBC,11.81,64
QSP,11.81,46
SDD,11.81,64
TPC,11.81,49
MGG,11.82,25
SDC,11.86,16
PIV,11.87,12
PXT,11.87,64
DTD,11.88,64
LEC,11.88,59
LTC,11.92,12
PBP,11.92,50
HMS,11.96,32
BST,11.97,52
KMT,11.97,24
BTW,11.98,30
VGV,11.98,42
DVP,12.01,64
DQC,12.03,64
BDW,12.04,8
SSM,12.05,45
PGC,12.1,64
PFL,12.14,64
TVT,12.14,56
TMB,12.15,50
DZM,12.16,60
SDJ,12.17,27
TNT,12.17,64
SHB,12.2,64
DCR,12.22,52
TLG,12.22,64
SBM,12.24,8
SSN,12.24,23
TPP,12.25,18
HTP,12.26,62
VGI,12.29,64
NOS,12.31,12
SDB,12.31,10
VTA,12.32,24
HCM,12.33,64
VTS,12.33,48
HVH,12.34,64
MAS,12.35,28
VTO,12.35,64
TIS,12.37,64
SDG,12.39,7
ILS,12.41,34
ITA,12.44,64
SD4,12.46,60
TTZ,12.46,64
CID,12.47,19
DTP,12.48,61
HVT,12.48,43
ORS,12.48,64
VNH,12.48,64
HVX,12.5,64
PVE,12.5,12
AAA,12.51,64
RIC,12.51,64
VC1,12.54,64
VLB,12.55,64
CKA,12.58,38
VWS,12.6,32
TNC,12.63,46
DNH,12.65,19
MCM,12.65,64
QNS,12.65,64
SGR,12.65,64
CIP,12.66,63
SAM,12.66,64
PSW,12.68,52
HPH,12.69,28
KLF,12.69,64
PV2,12.69,64
UDJ,12.72,64
IDI,12.74,64
XPH,12.74,60
VAF,12.75,43
VRC,12.76,64
DNL,12.77,9
VTE,12.77,35
VPH,12.79,64
BVB,12.8,64
ACE,12.84,57
STL,12.86,12
HHP,12.88,64
PAS,12.89,64
QTP,12.89,64
DOP,12.9,38
S99,12.9,64
EIN,12.91,64
SBH,12.91,57
PVC,12.92,64
HAP,12.95,61
L63,12.95,34
HSM,12.96,37
MAC,12.96,64
ABC,12.97,64
HLB,12.98,20
MCO,12.98,64
BPC,12.99,51
C47,12.99,64
PSN,12.99,30
VGR,12.99,24
PVA,13.0,12
BDB,13.01,16
TFC,13.03,50
BHN,13.04,64
BOT,13.06,64
MDG,13.07,45
TV1,13.08,12
CAP,13.09,64
BCM,13.1,64
TCW,13.1,64
ILC,13.12,14
ANV,13.15,64
MEL,13.15,61
AMD,13.16,64
VSI,13.16,44
LUT,13.17,64
AGF,13.18,12
TAR,13.19,64
MCP,13.22,21
VTC,13.24,61
PEQ,13.29,18
MKP,13.3,39
SEA,13.32,64
APH,13.33,64
DDM,13.33,12
FT1,13.33,37
LCS,13.33,64
NTB,13.33,12
VLP,13.33,2
VTB,13.33,63
BRS,13.35,30
TSC,13.38,64
HAM,13.39,9
HMG,13.39,15
DFC,13.41,11
HID,13.41,64
HTG,13.41,61
ART,13.42,64
PGI,13.44,63
PHC,13.44,64
SKG,13.44,64
BTN,13.46,64
SSI,13.48,64
L43,13.5,53
SLS,13.5,64
AGP,13.53,63
CTR,13.53,64
VC5,13.53,12
MDF,13.54,60
PLP,13.54,64
PHN,13.58,38
THS,13.58,7
HMC,13.65,64
TTH,13.67,64
CHS,13.7,53
PCG,13.7,64
VTH,13.7,28
DCL,13.73,64
CQT,13.74,56
SRA,13.74,64
TKC,13.74,62
V11,13.75,12
HEM,13.77,18
PEG,13.78,42
LWS,13.81,4
SCC,13.81,58
VHG,13.81,64
VNR,13.81,64
BSG,13.82,53
UIC,13.82,64
PSE,13.86,63
QHD,13.86,19
HVA,13.88,63
ATB,13.89,12
TDH,13.89,64
SDP,13.9,64
NDN,13.94,64
THB,13.96,53
TLD,13.96,64
DP2,13.98,11
LHG,13.98,64
DXL,14.0,11
SGO,14.0,12
GLT,14.03,48
PSP,14.04,64
CEO,14.05,64
PRO,14.06,45
ITS,14.08,64
TV2,14.08,64
PAN,14.09,60
PSC,14.11,22
AAT,14.13,64
ITD,14.15,64
QBS,14.15,61
CLG,14.17,12
EIC,14.19,40
BSL,14.2,41
PTS,14.21,64
GSP,14.24,64
TCM,14.24,64
TUG,14.26,13
DRC,14.29,64
KSV,14.29,63
MVC,14.29,63
CCM,14.3,46
GER,14.32,2
EID,14.33,64
HTN,14.34,64
HSI,14.35,12
PIS,14.35,41
BDT,14.37,54
MSN,14.37,64
PBC,14.39,64
SJM,14.39,64
C12,14.4,12
CFM,14.4,64
MBG,14.4,64
VIP,14.4,64
HMH,14.41,60
ATG,14.44,12
HES,14.44,21
HLA,14.44,12
DRH,14.45,64
TTB,14.45,64
BTB,14.46,17
AMV,14.48,64
TMG,14.48,36
V21,14.5,61
TIE,14.52,58
GEG,14.54,64
POM,14.54,64
VKC,14.54,64
HSG,14.58,64
DID,14.6,64
VCR,14.6,64
CSC,14.62,64
DPC,14.64,48
HCB,14.64,20
SBT,14.66,64
KSH,14.69,64
C69,14.74,64
TVC,14.76,64
BMF,14.77,28
CDO,14.77,64
L40,14.77,19
GSM,14.8,32
TDC,14.81,64
PTE,14.83,12
GVR,14.85,64
GVT,14.87,46
PDV,14.87,52
LDP,14.91,64
KCB,14.92,60
UDC,14.94,64
CBS,14.98,31
HDO,15.0,12
HTT,15.0,12
MIC,15.0,48
PSB,15.0,58
S12,15.0,11
VHC,15.0,64
HU1,15.02,56
POB,15.04,56
VLA,15.06,39
SIC,15.1,41
VSM,15.1,33
CCL,15.15,64
KVC,15.15,64
CRE,15.16,64
SGS,15.17,48
TVN,15.19,64
PCC,15.2,31
NHH,15.21,64
FID,15.22,64
ACM,15.23,64
NAP,15.26,47
STP,15.26,63
TVM,15.27,17
PSD,15.28,64
CTT,15.29,28
PGB,15.29,64
THT,15.29,64
CAN,15.31,30
A32,15.32,34
VTD,15.32,64
CCA,15.36,10
DRG,15.38,43
HU4,15.39,64
VGP,15.41,22
BTH,15.43,11
IJC,15.43,64
LMI,15.43,5
MVB,15.44,60
TH1,15.49,9
BIC,15.53,64
DTK,15.53,50
SGC,15.53,13
HOT,15.54,36
PNP,15.57,11
B82,15.62,12
SFG,15.62,64
API,15.64,64
TTN,15.64,64
CTN,15.65,8
VNT,15.67,25
AMS,15.68,64
TSB,15.71,21
VNI,15.73,10
GTH,15.74,44
LIG,15.75,64
PVT,15.75,64
VCA,15.76,64
KBC,15.77,64
PTV,15.77,52
RCC,15.78,33
PVP,15.79,64
HFC,15.8,31
KSB,15.8,64
TDG,15.81,64
SB1,15.82,35
DAT,15.83,53
MTG,15.85,38
RGC,15.87,59
MTL,15.88,42
TLH,15.97,64
L12,15.98,18
PLA,16.0,19
HPW,16.04,43
MHL,16.08,64
BAL,16.12,11
IVS,16.15,64
PSG,16.15,12
SHN,16.16,64
TVS,16.16,64
SCG,16.18,64
CPI,16.19,10
SGT,16.2,64
VDT,16.2,7
VW3,16.22,30
TMT,16.25,63
MBS,16.33,64
PPE,16.36,45
DSC,16.37,64
CAG,16.38,62
C4G,16.4,64
STK,16.4,64
CTP,16.42,64
SJG,16.42,64
FRC,16.43,19
DRI,16.45,64
VXT,16.45,9
IDC,16.48,64
CRC,16.49,64
BTS,16.51,64
TNP,16.52,4
DBT,16.54,64
DVG,16.55,64
NHA,16.56,64
NDC,16.57,31
FCN,16.59,64
SPI,16.59,64
MST,16.61,64
SBS,16.61,64
HKB,16.67,8
HRT,16.67,63
GMD,16.69,64
CSI,16.74,24
BVS,16.76,64
SKN,16.77,18
TTG,16.77,53
PPP,16.78,63
G36,16.79,64
SFI,16.8,61
TAW,16.8,10
MIG,16.86,64
VSH,16.91,64
TNW,16.92,23
PC1,16.93,64
HEP,16.94,38
HTM,16.94,61
PMB,16.96,64
TCL,16.97,64
BHP,16.99,56
PSI,16.99,64
TVD,17.0,64
DGT,17.03,64
TDN,17.03,64
FIC,17.04,63
SD8,17.06,9
DSG,17.08,59
SJC,17.08,12
BMC,17.13,64
TC6,17.16,64
ADS,17.18,64
AMP,17.22,9
MIM,17.24,34
PGV,17.24,64
DL1,17.25,64
LMC,17.28,57
KSQ,17.3,64
ICI,17.33,46
SHI,17.33,64
BVG,17.35,64
HLC,17.36,60
VCX,17.36,10
VE9,17.37,64
ASM,17.39,64
PVR,17.39,12
VCI,17.39,64
GIL,17.4,64
VIE,17.47,9
GTT,17.5,12
VE2,17.51,17
CET,17.53,64
VIX,17.54,64
KLM,17.55,5
QNC,17.55,64
SHC,17.55,55
HDG,17.56,64
PTP,17.56,12
PJS,17.6,26
MML,17.61,64
PMT,17.62,7
SII,17.62,36
VQC,17.64,18
AGR,17.65,64
HDP,17.66,50
HHG,17.66,64
KIP,17.66,39
PVH,17.69,12
APL,17.72,6
SBR,17.74,23
VFS,17.74,64
SCR,17.75,64
DGC,17.76,64
JVC,17.8,64
HAI,17.84,64
HOM,17.87,64
TIG,17.88,64
DCT,17.89,12
YBC,17.92,32
KKC,17.97,59
S72,18.0,47
CMN,18.02,11
BFC,18.05,64
TDS,18.05,64
HJC,18.06,25
UPH,18.06,30
HLY,18.13,11
HUT,18.19,64
SIG,18.19,22
ADC,18.2,25
LM7,18.2,53
PET,18.23,64
ILB,18.24,64
ATA,18.28,12
VC9,18.28,63
APS,18.3,64
CIG,18.3,64
CTS,18.3,64
ELC,18.36,64
VDS,18.36,64
LSS,18.38,64
CCR,18.41,64
VMS,18.43,41
NNT,18.45,21
DAD,18.46,51
SPM,18.46,57
DP1,18.47,64
BCP,18.48,41
FMC,18.49,64
VGT,18.53,64
VC6,18.54,33
CST,18.57,64
FIT,18.6,64
VNL,18.6,58
NTF,18.62,6
FRM,18.65,18
HBS,18.7,64
HCD,18.72,64
HAV,18.78,49
KPF,18.78,64
TGP,18.83,37
X26,18.86,11
AVF,18.89,12
NTL,18.89,64
SCJ,18.91,64
ALT,18.92,32
MRF,18.93,51
MDC,18.98,64
CSV,19.01,64
MHC,19.05,64
PCF,19.05,28
GKM,19.08,64
HT1,19.14,64
CTC,19.15,64
L45,19.17,51
BSI,19.21,61
VIG,19.21,64
DCF,19.35,10
E29,19.35,14
CMG,19.37,64
KST,19.37,16
DVN,19.4,64
GDW,19.43,37
NKG,19.44,64
AAS,19.46,64
