symbol,date,close,percentage,lowest,highest
PVD,2022-11-23,13.6,14.6,5.09,58.27
S74,2022-11-22,9.6,14.6,3.2,43.83
AST,2022-11-22,51.8,14.61,38.97,87.81
SGP,2022-11-23,11.1,14.61,4.69,43.87
MIE,2022-10-21,10.6,14.67,8.4,15.0
DCH,2022-08-03,5.9,14.71,4.9,6.8
VIP,2022-11-23,7.0,14.73,1.41,37.95
MTA,2022-11-23,3.9,14.74,1.1,19.0
VGI,2022-11-23,18.5,14.75,11.3,48.8
TLT,2022-11-09,18.5,14.78,0.47,122.02
POS,2022-11-23,8.6,14.83,4.38,28.45
VNE,2022-11-23,9.19,14.85,1.8,49.76
L45,2022-11-22,3.0,14.88,1.2,12.1
THU,2022-02-10,9.75,14.88,5.93,25.67
TLI,2022-09-30,8.2,14.88,3.2,33.6
HDA,2022-11-23,5.5,14.92,1.56,26.4
SRA,2022-11-23,3.2,14.92,0.23,19.9
SEA,2022-11-23,17.2,14.97,8.9,55.44
YBM,2022-11-23,5.6,14.98,2.59,20.09
VIG,2022-11-23,4.1,15.0,0.5,24.0
PVG,2022-11-23,7.0,15.07,3.62,22.43
KHW,2022-05-18,14.54,15.08,11.59,19.56
LAF,2022-11-16,15.75,15.09,3.3,82.5
VMC,2022-11-18,6.7,15.09,2.23,29.63
EVS,2022-11-23,12.0,15.11,5.2,45.0
PCG,2022-11-23,6.7,15.21,3.02,24.2
TVW,2022-11-10,8.1,15.22,4.54,23.39
GGG,2022-11-18,5.0,15.33,0.4,30.0
TFC,2022-11-23,6.0,15.37,3.03,19.32
KBC,2022-11-23,16.7,15.4,3.37,86.58
GVR,2022-11-23,12.55,15.46,6.03,42.17
MVN,2022-11-23,15.6,15.46,6.4,59.5
D11,2022-11-23,11.1,15.57,3.73,47.32
MND,2022-11-03,9.4,15.57,7.93,9.44
FTI,2022-11-22,4.2,15.6,2.5,10.9
BWA,2022-10-31,8.1,15.71,2.67,34.57
HHV,2022-11-23,7.51,15.77,3.0,28.6
DWS,2022-11-23,11.0,15.79,7.74,20.65
NVT,2022-11-23,7.05,15.79,1.58,34.65
NKG,2022-11-23,8.7,15.82,1.51,45.45
AMV,2022-11-23,3.4,16.03,0.96,15.22
VGV,2022-11-22,9.2,16.06,5.94,20.3
SII,2022-11-22,14.4,16.12,7.95,40.0
CC1,2022-11-23,11.1,16.13,5.05,37.51
HOM,2022-11-23,4.6,16.13,2.31,14.2
ABR,2022-11-03,9.72,16.15,3.0,41.6
HSP,2022-09-19,11.4,16.15,8.46,18.2
AG1,2022-11-18,5.5,16.18,3.58,11.87
VSE,2022-11-23,7.4,16.2,4.41,18.46
SZB,2022-11-23,27.3,16.22,19.68,46.97
VIF,2022-11-22,12.1,16.33,8.25,23.58
SC5,2022-11-23,17.3,16.46,3.48,83.94
SFG,2022-11-23,8.37,16.49,4.46,23.71
MRF,2022-11-22,24.1,16.54,12.02,73.05
VTO,2022-11-23,6.98,16.54,1.55,32.82
SKN,2022-11-18,7.1,16.59,3.27,23.09
UDC,2022-11-23,6.13,16.61,1.86,25.71
DXG,2022-11-23,9.6,16.73,1.66,47.45
BHP,2022-11-22,7.8,16.75,3.08,28.18
VEF,2022-11-23,57.9,16.77,10.1,285.0
BVL,2022-11-23,23.6,16.91,14.5,53.8
QLT,2022-11-23,14.6,17.01,3.41,65.8
AGR,2022-11-23,6.85,17.02,2.0,28.5
FCS,2022-09-28,5.2,17.04,2.9,13.5
SNZ,2022-11-23,22.3,17.07,8.69,79.74
SKG,2022-11-23,13.0,17.08,5.82,42.03
VBH,2022-11-22,15.4,17.11,5.7,56.7
MDF,2022-11-22,8.6,17.12,2.05,38.26
FTS,2022-11-23,15.25,17.15,4.97,59.93
TCO,2022-11-23,8.5,17.36,2.55,34.27
PDR,2022-11-23,14.85,17.43,2.09,73.22
ELC,2022-11-23,7.78,17.44,3.19,26.32
DXP,2022-11-23,7.8,17.56,2.97,27.5
CTS,2022-11-23,8.33,17.59,1.81,37.06
TNP,2022-10-04,10.6,17.63,5.33,29.89
PC1,2022-11-23,15.75,17.66,6.94,49.9
MLS,2022-11-22,12.6,17.71,4.4,46.29
ICT,2022-11-23,14.5,17.72,9.82,26.41
STW,2022-08-25,4.0,17.73,1.5,14.1
TCK,2021-02-05,3.9,17.74,2.8,6.2
ACC,2022-11-23,10.75,17.76,4.15,37.16
VNG,2022-11-23,8.18,17.76,3.89,24.15
CT6,2022-11-22,6.8,17.77,3.2,20.26
L63,2022-11-23,6.5,17.77,3.55,16.6
KCB,2022-11-23,4.5,17.78,1.3,18.0
DPG,2022-11-23,22.0,17.79,4.58,97.92
EMS,2022-11-23,20.0,17.81,13.2,38.18
ASP,2022-11-23,6.09,17.82,1.87,23.68
ANT,2022-11-23,9.3,17.91,4.0,29.6
C47,2022-11-23,6.96,17.93,2.12,27.0
CMW,2022-08-08,10.0,17.93,7.01,16.68
HTN,2022-11-23,16.5,17.93,5.87,59.3
DNM,2022-11-16,14.9,18.06,2.8,67.0
BFC,2022-11-23,15.75,18.11,7.53,45.4
PET,2022-11-23,15.35,18.16,2.64,70.0
VTH,2022-11-23,7.0,18.17,4.54,13.54
PTX,2022-07-15,0.5,18.18,0.2,1.65
TDG,2022-11-23,4.08,18.25,1.47,14.3
ALT,2022-11-21,16.2,18.27,4.84,62.18
SAP,2022-11-23,19.0,18.33,3.61,83.95
SCL,2022-11-23,8.0,18.37,1.42,35.82
VTC,2022-11-22,10.0,18.4,1.19,47.89
DND,2022-11-23,14.9,18.45,5.67,50.04
SRT,2022-11-23,5.2,18.47,2.6,14.08
HSG,2022-11-23,8.62,18.53,0.7,42.75
HGW,2022-11-10,10.0,18.55,6.03,21.4
GEG,2022-11-23,11.05,18.57,5.97,27.36
VLC,2022-11-23,13.5,18.57,5.29,44.22
KDM,2022-09-09,9.9,18.65,1.6,44.5
EVF,2022-11-23,6.6,18.66,3.2,18.22
CMX,2022-11-23,6.44,18.7,1.85,24.55
HRT,2022-11-22,4.9,18.71,2.3,13.9
AAA,2022-11-23,6.65,18.76,2.26,23.4
HTL,2022-11-21,15.35,18.78,0.97,76.59
KSF,2022-11-23,70.2,18.8,46.8,124.5
POW,2022-11-23,10.45,18.85,6.53,20.8
HTE,2022-11-23,4.5,18.87,2.5,10.6
TTE,2022-11-17,11.3,18.87,6.96,23.0
NQT,2021-07-02,7.98,18.95,6.39,8.39
VCG,2022-11-23,13.05,18.95,3.56,50.08
VRE,2022-11-23,26.15,18.97,16.9,48.76
VVN,2022-11-04,5.2,18.97,1.9,17.4
PNC,2022-11-23,8.77,18.98,2.58,32.62
NBC,2022-11-23,7.0,19.04,1.36,29.62
VTS,2022-11-23,24.5,19.04,6.6,94.0
L18,2022-11-23,18.9,19.07,2.0,88.6
TTG,2022-11-22,5.3,19.1,1.52,19.79
HLS,2022-10-06,12.2,19.13,5.79,33.5
BMN,2022-11-23,13.4,19.17,4.85,44.6
VE2,2022-09-22,6.2,19.2,1.44,24.79
SJG,2022-11-22,11.5,19.21,3.2,43.2
VTV,2022-11-23,4.4,19.22,1.16,16.86
MA1,2022-11-22,22.0,19.25,15.48,33.87
TDC,2022-11-23,8.2,19.25,1.77,33.4
VC1,2022-11-22,8.1,19.27,2.8,27.5
PSB,2022-11-23,5.7,19.28,2.5,16.6
KSB,2022-11-23,13.15,19.29,2.79,53.7
SZC,2022-11-23,25.35,19.32,9.24,83.37
MDC,2022-11-23,6.3,19.34,2.55,19.39
CDC,2022-11-23,17.9,19.5,1.35,84.88
IDC,2022-11-23,29.0,19.51,12.53,84.42
PGV,2022-11-23,16.4,19.57,8.12,42.3
STP,2022-11-23,7.0,19.63,2.41,23.38
C4G,2022-11-23,7.2,19.7,1.9,26.9
