symbol,close,timestamp,low,open,high,volume,date
IDI,4.34,1459728000,4.34,4.4,4.46,429930,2016-04-04
IDI,4.4,1459814400,4.34,4.34,4.46,403140,2016-04-05
IDI,4.34,1459900800,4.34,4.4,4.46,277550,2016-04-06
IDI,4.4,1459987200,4.34,4.4,4.4,294870,2016-04-07
IDI,4.34,1460073600,4.29,4.4,4.4,580580,2016-04-08
IDI,4.34,1460332800,4.29,4.34,4.4,528090,2016-04-11
IDI,4.23,1460419200,4.23,4.34,4.34,394100,2016-04-12
IDI,4.12,1460505600,4.12,4.23,4.23,743820,2016-04-13
IDI,4.18,1460592000,4.12,4.12,4.23,760240,2016-04-14
IDI,4.34,1460678400,4.23,4.23,4.4,680180,2016-04-15
IDI,4.23,1461024000,4.23,4.34,4.34,406210,2016-04-19
IDI,4.23,1461110400,4.18,4.29,4.29,115120,2016-04-20
IDI,4.29,1461196800,4.23,4.23,4.4,743080,2016-04-21
IDI,4.29,1461283200,4.23,4.29,4.34,336600,2016-04-22
IDI,4.29,1461542400,4.23,4.34,4.34,235420,2016-04-25
IDI,4.29,1461628800,4.18,4.29,4.34,620300,2016-04-26
IDI,4.18,1461715200,4.18,4.23,4.29,487500,2016-04-27
IDI,4.18,1461801600,4.12,4.18,4.23,194090,2016-04-28
IDI,4.12,1461888000,4.12,4.18,4.23,214230,2016-04-29
IDI,4.12,1462320000,4.12,4.12,4.23,449280,2016-05-04
IDI,4.12,1462406400,4.07,4.18,4.18,233580,2016-05-05
IDI,4.12,1462492800,4.07,4.12,4.18,308830,2016-05-06
IDI,4.01,1462752000,4.01,4.12,4.12,930850,2016-05-09
IDI,4.01,1462838400,4.01,4.07,4.07,246800,2016-05-10
IDI,3.95,1462924800,3.9,4.07,4.07,679590,2016-05-11
IDI,4.07,1463011200,3.95,3.95,4.12,669980,2016-05-12
IDI,3.95,1463097600,3.95,4.07,4.12,383360,2016-05-13
IDI,3.9,1463356800,3.9,3.95,4.01,587800,2016-05-16
IDI,3.9,1463443200,3.9,3.95,4.01,569690,2016-05-17
IDI,3.95,1463529600,3.9,3.95,4.01,394190,2016-05-18
IDI,3.95,1463616000,3.95,3.95,4.01,294000,2016-05-19
IDI,3.9,1463702400,3.9,3.95,3.95,159100,2016-05-20
IDI,3.9,1463961600,3.9,3.9,3.95,270580,2016-05-23
