timestamp,symbol,close,low,open,high,volume,date
1166140800,SMC,7.89,7.89,7.89,7.98,61500,2006-12-15
1166400000,SMC,7.89,7.89,7.89,7.89,62960,2006-12-18
1166486400,SMC,8.21,8.21,8.21,8.21,86240,2006-12-19
1166572800,SMC,8.21,8.21,8.21,8.21,24790,2006-12-20
1166659200,SMC,8.11,8.11,8.11,8.21,138000,2006-12-21
1166745600,SMC,7.89,7.89,8.11,8.11,27940,2006-12-22
1167004800,SMC,8.02,7.7,7.7,8.02,7270,2006-12-25
1167091200,SMC,8.11,8.11,8.13,8.13,39950,2006-12-26
1167177600,SMC,8.11,8.09,8.11,8.11,32910,2006-12-27
1167264000,SMC,7.93,7.93,8.11,8.11,28450,2006-12-28
1167350400,SMC,7.89,7.79,7.79,7.89,27700,2006-12-29
1167696000,SMC,8,7.89,7.89,8,11650,2007-01-02
1167782400,SMC,7.98,7.89,7.89,7.98,7600,2007-01-03
1167868800,SMC,8,7.89,7.89,8.11,30330,2007-01-04
1167955200,SMC,8,8,8,8,58600,2007-01-05
1168214400,SMC,8.38,8.11,8.21,8.38,145240,2007-01-08
1168300800,SMC,8.79,8.79,8.79,8.79,70060,2007-01-09
1168387200,SMC,9.21,9.21,9.21,9.21,57890,2007-01-10
1168473600,SMC,9.66,9.66,9.66,9.66,79250,2007-01-11
1168560000,SMC,10.03,9.81,10.13,10.13,155930,2007-01-12
1168819200,SMC,9.54,9.54,10.03,10.03,48410,2007-01-15
1168905600,SMC,9.28,9.17,9.17,9.28,52070,2007-01-16
1168992000,SMC,9.28,9.28,9.6,9.6,62440,2007-01-17
1169078400,SMC,9.73,9.28,9.28,9.73,43060,2007-01-18
1169164800,SMC,9.6,9.6,9.6,9.6,59020,2007-01-19
1169424000,SMC,9.92,9.81,10.07,10.07,142320,2007-01-22
1169510400,SMC,10.41,10.41,10.41,10.41,112130,2007-01-23
1169596800,SMC,10.88,10.88,10.88,10.88,29700,2007-01-24
1169683200,SMC,10.45,10.45,11.41,11.41,195670,2007-01-25
1169769600,SMC,10.67,10.45,10.45,10.67,62770,2007-01-26
1170028800,SMC,11.2,11.2,11.2,11.2,63670,2007-01-29
1170115200,SMC,11.73,11.73,11.73,11.73,94410,2007-01-30
1170201600,SMC,11.95,11.73,11.73,12.16,67100,2007-01-31
1170288000,SMC,11.73,11.73,11.95,11.95,34310,2007-02-01
1170374400,SMC,11.31,11.31,11.31,11.31,11710,2007-02-02
1170633600,SMC,10.88,10.88,11.52,11.52,35430,2007-02-05
1170720000,SMC,11.31,11.31,11.31,11.31,39490,2007-02-06
1170806400,SMC,11.52,11.52,11.63,11.63,77140,2007-02-07
1170892800,SMC,11.63,11.63,11.73,11.73,25900,2007-02-08
1170979200,SMC,11.09,11.09,11.09,11.09,15150,2007-02-09
1171238400,SMC,11.41,11.09,11.09,11.41,41980,2007-02-12
1171324800,SMC,11.95,11.95,11.95,11.95,65040,2007-02-13
1171411200,SMC,12.48,12.48,12.48,12.48,65150,2007-02-14
1171497600,SMC,13.01,13.01,13.01,13.01,28020,2007-02-15
1172448000,SMC,13.65,13.01,13.01,13.65,2950,2007-02-26
1172534400,SMC,14.29,13.65,13.65,14.29,17610,2007-02-27
1172620800,SMC,14.29,14.29,14.93,14.93,75140,2007-02-28
1172707200,SMC,14.29,14.29,14.29,14.29,54490,2007-03-01
1172793600,SMC,14.29,14.29,14.29,14.29,53370,2007-03-02
1173052800,SMC,14.72,14.72,14.72,14.93,85830,2007-03-05
1173139200,SMC,15.36,15.36,15.36,15.36,68510,2007-03-06
1173225600,SMC,16.11,16.11,16.11,16.11,49320,2007-03-07
1173312000,SMC,16.85,16.85,16.85,16.85,83480,2007-03-08
1173398400,SMC,17.6,17.6,17.6,17.6,31100,2007-03-09
1173657600,SMC,18.34,18.34,18.45,18.45,79520,2007-03-12
1173744000,SMC,17.49,17.49,17.49,17.49,50680,2007-03-13
1173830400,SMC,16.64,16.64,16.85,16.85,23360,2007-03-14
1173916800,SMC,15.89,15.89,15.89,15.89,5420,2007-03-15
1174003200,SMC,15.89,15.14,15.14,15.89,56880,2007-03-16
1174262400,SMC,16.64,16.53,16.53,16.64,76270,2007-03-19
1174348800,SMC,15.89,15.89,17.07,17.07,86870,2007-03-20
1174435200,SMC,15.46,15.46,15.89,15.89,52950,2007-03-21
1174521600,SMC,14.72,14.72,15.14,15.14,57410,2007-03-22
1174608000,SMC,14.82,14.4,14.4,14.93,51380,2007-03-23
1174867200,SMC,14.29,14.29,14.93,14.93,37410,2007-03-26
1174953600,SMC,13.65,13.65,13.65,13.65,17800,2007-03-27
1175040000,SMC,14.29,13.01,13.01,14.29,106600,2007-03-28
1175126400,SMC,14.93,14.93,14.93,14.93,31700,2007-03-29
1175212800,SMC,14.93,14.93,15.46,15.46,44710,2007-03-30
1175472000,SMC,14.19,14.19,14.19,14.19,22550,2007-04-02
1175558400,SMC,13.54,13.54,13.65,13.65,34430,2007-04-03
1175644800,SMC,13.87,13.54,13.54,13.87,22790,2007-04-04
