open,close,volume,symbol,timestamp,low,date,high
7,7.1,330800,PSI,1373328000,7,2013-07-09,7.2
7.2,7.2,95500,PSI,1373414400,7,2013-07-10,7.3
7.2,7.1,47800,PSI,1373500800,7,2013-07-11,7.2
7.2,7.1,96400,PSI,1373587200,7,2013-07-12,7.2
7.2,7,67000,PSI,1373846400,7,2013-07-15,7.2
7,6.9,113700,PSI,1373932800,6.7,2013-07-16,7
6.9,6.8,41100,PSI,1374019200,6.8,2013-07-17,6.9
6.8,6.8,106000,PSI,1374105600,6.8,2013-07-18,7.1
7,7.1,130500,PSI,1374192000,6.8,2013-07-19,7.1
6.9,6.7,158500,PSI,1374451200,6.7,2013-07-22,7.3
6.7,6.6,134600,PSI,1374537600,6.6,2013-07-23,6.7
6.5,6.5,120400,PSI,1374624000,6.4,2013-07-24,6.6
6.4,6.4,118200,PSI,1374710400,6.3,2013-07-25,6.4
6.4,6.3,82000,PSI,1374796800,6.3,2013-07-26,6.4
6.1,6.4,118400,PSI,1375056000,6,2013-07-29,6.4
6.2,6.1,4800,PSI,1375142400,5.9,2013-07-30,6.2
6.3,6.2,7920,PSI,1375228800,6.2,2013-07-31,6.3
5.9,5.9,83380,PSI,1375315200,5.9,2013-08-01,6.1
6,6.2,17320,PSI,1375401600,6,2013-08-02,6.2
6.2,6.2,11100,PSI,1375660800,6.1,2013-08-05,6.2
6,6.2,21800,PSI,1375747200,6,2013-08-06,6.2
6.1,6.1,7700,PSI,1375833600,6.1,2013-08-07,6.2
6.1,5.9,76100,PSI,1375920000,5.9,2013-08-08,6.1
6.1,5.9,36000,PSI,1376006400,5.9,2013-08-09,6.2
6,6.1,70900,PSI,1376265600,5.9,2013-08-12,6.1
6,5.9,56200,PSI,1376352000,5.9,2013-08-13,6
6,6.1,25900,PSI,1376438400,6,2013-08-14,6.1
6,6.1,5900,PSI,1376524800,6,2013-08-15,6.1
6.1,6.2,10800,PSI,1376611200,6.1,2013-08-16,6.2
6.2,6.3,5500,PSI,1376870400,6.2,2013-08-19,6.3
6.2,6.3,18700,PSI,1376956800,6.1,2013-08-20,6.3
6.1,6,5700,PSI,1377043200,6,2013-08-21,6.1
6.1,6,27300,PSI,1377129600,6,2013-08-22,6.1
6.1,6,39400,PSI,1377216000,6,2013-08-23,6.1
6,6,12900,PSI,1377475200,6,2013-08-26,6
6,6.1,26700,PSI,1377561600,6,2013-08-27,6.1
6,6,67800,PSI,1377648000,5.9,2013-08-28,6
6,6,34700,PSI,1377734400,6,2013-08-29,6
6,6,65600,PSI,1377820800,5.9,2013-08-30,6
6,5.9,54700,PSI,1378166400,5.8,2013-09-03,6
5.9,5.9,88600,PSI,1378252800,5.9,2013-09-04,5.9
5.9,5.9,17400,PSI,1378339200,5.9,2013-09-05,5.9
5.9,6,18700,PSI,1378425600,5.9,2013-09-06,6
5.9,5.9,50600,PSI,1378684800,5.9,2013-09-09,5.9
5.9,6,26300,PSI,1378771200,5.9,2013-09-10,6
5.9,6,6500,PSI,1378857600,5.9,2013-09-11,6
5.9,5.9,16600,PSI,1378944000,5.4,2013-09-12,6
5.9,5.9,51900,PSI,1379030400,5.9,2013-09-13,5.9
5.9,5.7,44600,PSI,1379289600,5.7,2013-09-16,5.9
5.7,5.4,141900,PSI,1379376000,5.4,2013-09-17,5.7
5.5,5.4,82500,PSI,1379462400,5.3,2013-09-18,5.5
5.5,5.5,66200,PSI,1379548800,5.4,2013-09-19,5.5
5.5,5.9,25600,PSI,1379635200,5.5,2013-09-20,5.9
5.7,5.8,52300,PSI,1379894400,5.7,2013-09-23,5.8
5.9,5.9,600,PSI,1379980800,5.9,2013-09-24,5.9
5.8,6.2,53600,PSI,1380067200,5.8,2013-09-25,6.2
6.1,6.2,15500,PSI,1380153600,6.1,2013-09-26,6.2
6.2,6.3,18200,PSI,1380240000,6.2,2013-09-27,6.3
6,6.6,82400,PSI,1380499200,6,2013-09-30,6.6
6.2,6.3,11800,PSI,1380585600,6.2,2013-10-01,6.3
6.2,6.2,41400,PSI,1380672000,6.1,2013-10-02,6.2
6.1,6.2,55300,PSI,1380758400,5.9,2013-10-03,6.2
5.9,6.1,21200,PSI,1380844800,5.9,2013-10-04,6.1
6,6,126400,PSI,1381104000,5.9,2013-10-07,6
6,6,66000,PSI,1381190400,5.9,2013-10-08,6
5.9,6.1,36700,PSI,1381276800,5.8,2013-10-09,6.1
5.9,5.9,9000,PSI,1381363200,5.9,2013-10-10,5.9
5.9,5.9,5500,PSI,1381449600,5.9,2013-10-11,5.9
6.1,5.9,29000,PSI,1381708800,5.9,2013-10-14,6.1
6,6.1,8500,PSI,1381795200,6,2013-10-15,6.1
6,5.9,24700,PSI,1381881600,5.9,2013-10-16,6
6,5.9,19800,PSI,1381968000,5.9,2013-10-17,6
5.9,6,12900,PSI,1382054400,5.9,2013-10-18,6
5.9,6,51700,PSI,1382313600,5.8,2013-10-21,6
5.8,6,20200,PSI,1382400000,5.8,2013-10-22,6
5.9,5.9,15700,PSI,1382486400,5.9,2013-10-23,5.9
5.9,6.4,168900,PSI,1382572800,5.9,2013-10-24,6.4
7,6.8,299300,PSI,1382659200,6.8,2013-10-25,7
6.7,6.4,42500,PSI,1382918400,6.4,2013-10-28,6.7
6.5,6.4,21200,PSI,1383004800,6.4,2013-10-29,6.5
6.4,6.5,190000,PSI,1383091200,6.4,2013-10-30,7
6.4,6.3,46200,PSI,1383177600,6.3,2013-10-31,6.4
6.3,6.3,91000,PSI,1383264000,6.3,2013-11-01,6.3
6.3,6.3,183600,PSI,1383523200,6.2,2013-11-04,6.7
6.1,6.7,4100,PSI,1383609600,6.1,2013-11-05,6.7
6.6,6.4,96600,PSI,1383696000,6.3,2013-11-06,6.6
6.4,6.5,117600,PSI,1383782400,6.4,2013-11-07,6.5
6.4,6.5,55600,PSI,1383868800,6.4,2013-11-08,6.6
6.5,6.7,174300,PSI,1384128000,6.4,2013-11-11,6.7
6.7,6.6,140300,PSI,1384214400,6.5,2013-11-12,6.7
6.6,6.8,184700,PSI,1384300800,6.6,2013-11-13,6.8
6.8,6.8,201900,PSI,1384387200,6.7,2013-11-14,6.9
6.8,6.8,177800,PSI,1384473600,6.8,2013-11-15,6.8
6.8,6.9,187000,PSI,1384732800,6.8,2013-11-18,6.9
6.9,6.7,302800,PSI,1384819200,6.7,2013-11-19,6.9
6.7,6.9,131700,PSI,1384905600,6.7,2013-11-20,6.9
7,6.9,341300,PSI,1384992000,6.8,2013-11-21,7
6.9,6.9,121800,PSI,1385078400,6.7,2013-11-22,6.9
7,6.9,38200,PSI,1385337600,6.9,2013-11-25,7
6.7,6.9,122100,PSI,1385424000,6.7,2013-11-26,6.9
6.8,6.8,3500,PSI,1385510400,6.8,2013-11-27,6.8
6.6,6.9,113800,PSI,1385596800,6.5,2013-11-28,6.9
6.9,6.9,123100,PSI,1385683200,6.9,2013-11-29,6.9
6.9,7,118300,PSI,1385942400,6.9,2013-12-02,7
6.9,7,78300,PSI,1386028800,6.9,2013-12-03,7
7,7,256500,PSI,1386115200,6.9,2013-12-04,7
7,7,47200,PSI,1386201600,7,2013-12-05,7
7,6.8,45000,PSI,1386288000,6.8,2013-12-06,7
6.8,6.5,73000,PSI,1386547200,6.5,2013-12-09,6.9
6.7,6.8,34700,PSI,1386633600,6.7,2013-12-10,6.8
6.7,6.7,27200,PSI,1386720000,6.3,2013-12-11,6.7
6.6,6.6,11400,PSI,1386806400,6.6,2013-12-12,6.7
6.6,6.4,6000,PSI,1386892800,6.4,2013-12-13,6.6
6.4,6.7,103700,PSI,1387152000,6.4,2013-12-16,6.7
6.7,6.7,214300,PSI,1387238400,6.6,2013-12-17,6.7
6.4,6.8,71700,PSI,1387324800,6.4,2013-12-18,6.8
6.8,6.6,125000,PSI,1387411200,6.6,2013-12-19,6.9
6.6,6.6,104600,PSI,1387497600,6.4,2013-12-20,6.6
6.6,6.7,221700,PSI,1387756800,6.3,2013-12-23,6.7
6.4,6.6,11200,PSI,1387843200,6.4,2013-12-24,6.6
6.4,6.4,173600,PSI,1387929600,6.3,2013-12-25,6.5
6.4,6.4,46400,PSI,1388016000,6.4,2013-12-26,6.4
6.5,6.3,33200,PSI,1388102400,6.3,2013-12-27,6.5
6.3,6,269000,PSI,1388361600,6,2013-12-30,6.3
6.1,6.3,32400,PSI,1388448000,6.1,2013-12-31,6.3
6.2,6.4,200,PSI,1388620800,6.2,2014-01-02,6.4
6.3,6.4,138100,PSI,1388707200,6.1,2014-01-03,6.4
6.4,6.4,120600,PSI,1388966400,6.1,2014-01-06,6.5
6.5,6.5,7400,PSI,1389052800,6.5,2014-01-07,6.5
6.5,6.6,258900,PSI,1389139200,6.5,2014-01-08,6.6
6.7,7.2,200700,PSI,1389225600,6.6,2014-01-09,7.2
6.8,6.7,5600,PSI,1389312000,6.7,2014-01-10,7.2
6.8,6.9,58500,PSI,1389571200,6.7,2014-01-13,7
6.8,6.7,57200,PSI,1389657600,6.6,2014-01-14,7
6.7,7,29600,PSI,1389744000,6.7,2014-01-15,7
6.9,6.8,37900,PSI,1389830400,6.8,2014-01-16,7
6.8,6.8,55000,PSI,1389916800,6.8,2014-01-17,6.8
6.6,6.6,2500,PSI,1390176000,6.6,2014-01-20,6.8
6.5,6.5,9400,PSI,1390262400,6.5,2014-01-21,6.5
6.8,6.7,221000,PSI,1390348800,6.7,2014-01-22,7
6.9,6.8,14300,PSI,1390435200,6.8,2014-01-23,6.9
