name,dateOfBirth,gender,province,percentage,district,cityOfBirth,degree,active
Đoàn Thị Duyệt,1946-01-01,Nữ,Hà Tây,0,,,,TRUE
Ngô Thị Én,1950-01-01,Nữ,Nam Hà,0,,,,TRUE
Vi Thị Ét,1946-01-01,Nữ,Sơn La,0,,,,TRUE
Bùi Hưng Gia,1906-01-01,nam,TP Hà Nội,0,,,,TRUE
Hoàng Minh Giám,1905-11-02,nam,Hà Tây,0,,,,TRUE
Nguyễn Bằng Giang,1915-10-15,nam,Bắc Thái,0,,,,TRUE
Hồ Giáo,1930-01-01,nam,Hà Tây,0,,,,TRUE
Võ Nguyên Giáp,1911-01-01,nam,Quảng Bình,0,,,,TRUE
Nguyễn Sơn Hà,1894-01-01,nam,TP Hải Phòng,0,,,,TRUE
Phí Văn Hà,1934-01-01,nam,Hà Tây,0,,,,TRUE
Nguyễn Hữu Hạ,1923-03-02,nam,Hải Hưng,0,,,,TRUE
Lò Văn Hạc,1914-02-10,nam,Lai Châu,0,,,,TRUE
Nguyễn Đình Hài,1939-01-01,nam,Hà Bắc,0,,,,TRUE
Phạm Bích Hải,1938-01-01,nam,Hải Hưng,0,,,,TRUE
Trần Thị Hải,1947-01-01,nam,Vĩnh Phú,0,,,,TRUE
Mai Quang Hân,1945-01-01,nam,Thanh Hoá,0,,,,TRUE
Hoàng Thị Hàng,1942-12-19,Nữ,Yên Bái,0,,,,TRUE
Doanh Hằng (Doanh Thăng Hỷ),1925-01-01,nam,Bắc Thái,0,,,,TRUE
Nguyễn Thị Hằng,1944-01-01,Nữ,Thanh Hoá,0,,,,TRUE
Nguyễn Thị Đức Hạnh,1947-01-01,Nữ,Vĩnh Phú,0,,,,TRUE
Đào Thị Hào,1938-01-01,Nữ,Nam Hà,0,,,,TRUE
Nguyễn Thúc Hào,1912-10-11,nam,Nghệ An,0,,,,TRUE
Song Hào,1917-01-01,nam,Thái Bình,0,,,,TRUE
Nguyễn Văn Hậu,1920-01-01,nam,Hoà Bình,0,,,,TRUE
Trương Văn Hậu,1931-01-01,nam,TP Hà Nội,0,,,,TRUE
Vũ Công Hậu,1918-01-01,nam,Nam Hà,0,,,,TRUE
Trần Xuân Hiên,1923-01-01,nam,TP Hải Phòng,0,,,,TRUE
Đinh Thị Thu Hiệp,1946-01-01,Nữ,Quảng Bình,0,,,,TRUE
Hoàng Hiệp (Hoàng Hiệp),1933-01-01,nam,Quảng Bình,0,,,,TRUE
Hoàng Văn Hiều,1931-01-01,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Văn Hiệu,1938-07-21,nam,Hà Tây,0,,,,TRUE
Trần Xuân Hiệu,1925-01-01,nam,Vĩnh Phú,0,,,,TRUE
Trần Hinh,1940-01-01,nam,Hà Tĩnh,0,,,,TRUE
Sem H'Miêng,1925-01-01,nam,Bắc Thái,0,,,,TRUE
Nguyễn Ngọc Hồ (Việt Hồng),1926-01-01,nam,Yên Bái,0,,,,TRUE
Đinh Thị Hoa,1943-01-01,Nữ,Thái Bình,0,,,,TRUE
Tống Thị Thanh Hoa (Tống Thị An),1948-01-01,Nữ,Ninh Bình,0,,,,TRUE
Nguyễn Công Hòa (Nguyễn Hữu Túc),1907-05-01,nam,Quảng Ninh,0,,,,TRUE
Nguyễn Xuân Hòa,1934-08-01,nam,Hà Bắc,0,,,,TRUE
Voòng Nải Hoài,1929-01-02,nam,Quảng Ninh,0,,,,TRUE
Hoàng Văn Hoan,1905-01-01,nam,Thanh Hoá,0,,,,TRUE
Trần Quốc Hoàn,1916-01-23,nam,Hà Tĩnh,0,,,,TRUE
Nguyễn Đình Hoàng,1934-01-01,nam,Hà Tĩnh,0,,,,TRUE
Trần Xuân Hoạt (Trần Bảo),1906-10-15,nam,Thái Nguyên,0,,,,TRUE
Đoàn Thị Hợi,1939-01-01,Nữ,TP Hà Nội,0,,,,TRUE
Nguyễn Thị Hợi,1935-01-01,Nữ,TP Hải Phòng,0,,,,TRUE
Lê Thị Thúy Hồng,1942-01-01,Nữ,Hà Tây,0,,,,TRUE
Nguyễn Chương Hồng,1912-12-11,nam,TP Hà Nội,0,,,,TRUE
Đỗ Xuân Hợp,1906-07-08,nam,Thái Bình,0,,,,TRUE
Trần Văn Hợp,1919-01-01,nam,Nam Hà,0,,,,TRUE
Trương MInh Hù,1943-01-01,nam,Hà Giang,0,,,,TRUE
Thái Ngô Huân,1930-01-01,nam,Nghệ An,0,,,,TRUE
Nguyễn Xuân Huê,1931-01-01,nam,Thanh Hoá,0,,,,TRUE
Ngô Thị Huệ (Ngô Thị Huệ),1919-07-01,Nữ,Ninh Bình,0,,,,TRUE
Hà Mạnh Hùng,1949-01-01,nam,Nam Hà,0,,,,TRUE
Điền Văn Hưng,1918-12-15,nam,Vĩnh Phú,0,,,,TRUE
Trần Duy Hưng,1912-01-16,nam,TP Hà Nội,0,,,,TRUE
Võ Thị Hương,1933-01-01,Nữ,Hà Tĩnh,0,,,,TRUE
Nguyễn Thị Hường,1946-01-01,Nữ,Nghệ An,0,,,,TRUE
Nguyễn Văn Hường,1927-07-02,nam,TP Hà Nội,0,,,,TRUE
Châu Văn Huy,1924-01-01,nam,TP Hà Nội,0,,,,TRUE
Trần Quang Huy (Vũ Đức Huề),1922-01-01,nam,Hải Hưng,0,,,,TRUE
Nguyễn Văn Huyên,1912-11-16,nam,Hà Tây,0,,,,TRUE
Hoàng Thị Huyền,1947-01-01,Nữ,Thái Bình,0,,,,TRUE
Trương Quang Hy,1906-02-03,nam,Nghệ An,0,,,,TRUE
Vù Mí Kẻ (Vù Mí Dình),1930-12-25,nam,Hà Giang,0,,,,TRUE
Nguyễn Thị Khải,1950-01-01,Nữ,Nam Hà,0,,,,TRUE
Lê Văn Kham,1913-11-12,nam,Nghệ An,0,,,,TRUE
Nguyễn Thị Khang,1942-01-01,Nữ,Quảng Ninh,0,,,,TRUE
Đoàn Thị Khánh,1940-01-01,Nữ,Thanh Hoá,0,,,,TRUE
Vàng Seo Kháy,1938-01-01,nam,Hà Giang,0,,,,TRUE
Nguyễn Hữu Khiếu,1915-10-15,nam,Thanh Hoá,0,,,,TRUE
Trần Đăng Khoa,1907-04-05,nam,Hà Bắc,0,,,,TRUE
Trần Văn Khoan,1927-01-01,nam,Ninh Bình,0,,,,TRUE
Lưu Văn Khôi,1936-01-01,nam,Hà Tây,0,,,,TRUE
Nguyễn Thị Khuê,1933-01-01,Nữ,Nghệ An,0,,,,TRUE
Phan Đình Khương (Bút Ngữ),1931-02-01,nam,Thái Bình,0,,,,TRUE
Đinh Thị Khuyên,1929-01-01,Nữ,Nghĩa Lộ,0,,,,TRUE
Trần Kiên,1910-01-01,nam,TP Hải Phòng,0,,,,TRUE
Phạm Kiệt,1912-01-01,nam,Nghệ An,0,,,,TRUE
Hoàng Thị Kín,1945-01-01,Nữ,Lào Cai,0,,,,TRUE
Nguyễn Khả Kính,1921-01-01,nam,TP Hải Phòng,0,,,,TRUE
Hủn Quang Kình,1923-01-01,nam,Nghệ An,0,,,,TRUE
Nguyễn Ngọc Kình,1941-01-01,nam,Thái Bình,0,,,,TRUE
Phạm Kỉnh,1913-01-01,nam,Quảng Bình,0,,,,TRUE
Tô Ký,1919-01-01,nam,Hà Tây,0,,,,TRUE
Vũ Xuân Kỷ,1886-12-19,nam,Nam Định,0,,,,TRUE
Đoàn La,1921-01-01,nam,Nghệ An,0,,,,TRUE
Dương Thị Lài,1941-01-01,Nữ,Hà Tây,0,,,,TRUE
Nguyễn Ngọc Lài,1942-04-01,nam,Nghệ An,0,,,,TRUE
Nguyễn Lam,1922-12-31,nam,Hà Nam,0,,,,TRUE
Dương Đại Lâm,1914-05-07,nam,Cao Bằng,0,,,,TRUE
Ma Thị Lâm,1929-01-03,Nữ,Hà Giang,0,,,,TRUE
Lê Văn Lành,1923-01-01,nam,Thanh Hoá,0,,,,TRUE
Lương Ích Lập,1927-01-01,nam,Cao Bằng,0,,,,TRUE
Nguyễn Lễ,1927-01-01,nam,Quảng Bình,0,,,,TRUE
Ngô Thị Thanh Lịch,1938-08-06,Nữ,Hải Hưng,0,,,,TRUE
Cầm Liên (Cầm Văn Yêu),1923-01-01,nam,Sơn La,0,,,,TRUE
Đinh Bạt Liên,1936-01-01,nam,Nghệ An,0,,,,TRUE
Nguyễn Thị Liên (Nguyễn Thị Liên),1944-01-01,Nữ,Hải Hưng,0,,,,TRUE
Nguyễn Thị Kim Liên (Tức Tiền),1932-01-01,Nữ,Nam Hà,0,,,,TRUE
Trần Thị Kim Liên,1947-01-01,Nữ,Bắc Thái,0,,,,TRUE
Võ Liên,1925-01-01,nam,Vĩnh Phú,0,,,,TRUE
Vũ Thị Liên,1926-01-12,Nữ,TP Hà Nội,0,,,,TRUE
Nguyễn Thị Liệu,1940-01-01,Nữ,Thanh Hoá,0,,,,TRUE
Đoàn Thọ Sinh Linh,1922-01-01,nam,Thái Bình,0,,,,TRUE
Nguyễn Xuân Linh,1910-01-01,nam,Hà Tĩnh,0,,,,TRUE
Ngô Minh Loan,1915-01-01,nam,Nam Hà,0,,,,TRUE
Đỗ Văn Lộc,1927-01-01,nam,Hải Dương,0,,,,TRUE
Phạm Thị Lợi,1932-01-01,Nữ,Bắc Thái,0,,,,TRUE
Nguyễn Đình Long,1938-01-01,nam,Hải Hưng,0,,,,TRUE
Nguyễn Thạc Long,1935-01-01,nam,Yên Bái,0,,,,TRUE
Trần Long,1922-01-01,nam,Lào Cai,0,,,,TRUE
Nguyễn Văn Luật,1937-01-01,nam,Nam Hà,0,,,,TRUE
Bồ Xuân Luật,1913-02-20,nam,Hải Hưng,0,,,,TRUE
Phạm Văn Lục,1933-01-01,nam,Hải Hưng,0,,,,TRUE
Phạm Văn Lực,1923-01-06,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Đức Lương (Lê Chương),1918-10-10,nam,TP Hải Phòng,0,,,,TRUE
Nguyễn Thị Lựu,1909-01-01,Nữ,Vĩnh Phú,0,,,,TRUE
Nguyễn Cao Luyện,1908-03-01,nam,Nam Hà,0,,,,TRUE
Lê Lý,1915-02-05,nam,Hà Tĩnh,0,,,,TRUE
Trần Kiêm Lý,1913-09-10,nam,Hà Tĩnh,0,,,,TRUE
Trần Thị Lý,1917-01-01,Nữ,Quảng Bình,0,,,,TRUE
Bùi Thị Mai,1943-01-01,Nữ,TP Hải Phòng,0,,,,TRUE
Bùi Thị Tuyết Mai,1945-01-01,Nữ,Thanh Hoá,0,,,,TRUE
Đặng Thai Mai,1902-12-24,nam,Nghệ An,0,,,,TRUE
Nguyễn Hữu Mai,1915-10-10,nam,Quảng Ninh,0,,,,TRUE
Hoàng Mậu (Nguyễn Văn Khai),1907-02-02,nam,TP Hải Phòng,0,,,,TRUE
Hoàng Trường Minh (Hoàng Khải Luận),1922-12-01,nam,Lào Cai,0,,,,TRUE
Bàn Văn Mình,1936-01-01,nam,Sơn La,0,,,,TRUE
Hoàng Thị Bích Mợi,1948-01-01,Nữ,Thanh Hoá,0,,,,TRUE
Chìu Nhì Múi,1917-01-01,nam,Quảng Ninh,0,,,,TRUE
Cháu Vồ Mủn (Sáu Pẩu),1930-01-01,nam,Quảng Ninh,0,,,,TRUE
Nguyễn Thị Muối (Nguyễn Thị Muối),1945-01-01,Nữ,Hà Tây,0,,,,TRUE
Lê Thị Diệu Muội,1922-01-01,Nữ,Hà Bắc,0,,,,TRUE
Đỗ Mười,1917-02-02,nam,TP Hải Phòng,0,,,,TRUE
Nguyễn Thị Mười,1948-01-01,Nữ,Hải Hưng,0,,,,TRUE
Bùi Hữu My (Huỳnh My),1934-05-12,nam,Minh Hải,0,,,,TRUE
Hoàng Thị Mỹ,1948-01-01,Nữ,Hà Bắc,0,,,,TRUE
Trương Thị Mỹ,1921-01-01,Nữ,TP Hải Phòng,0,,,,TRUE
Mai Đình Nghệ,1929-02-28,nam,Quảng Ninh,0,,,,TRUE
Lê Thanh Nghị,1911-03-06,nam,Quảng Ninh,0,,,,TRUE
Tôn Viết Nghiệm,1918-05-15,nam,Thanh Hoá,0,,,,TRUE
Hà Văn Nghiệp,1917-01-27,nam,Hoà Bình,0,,,,TRUE
Cầm Ngoan,1922-01-01,nam,Yên Bái,0,,,,TRUE
Lê Văn Ngọc,1939-01-01,nam,Đồng Nai,0,,,,TRUE
Đặng Văn Ngự,1924-01-01,nam,Nam Hà,0,,,,TRUE
Nguyễn Thị Nguyệt,1940-01-01,Nữ,Thanh Hoá,0,,,,TRUE
Nguyễn Thị Nguyệt,1946-09-24,Nữ,Vĩnh Phú,0,,,,TRUE
Nguyễn Thị Minh Nhã,1921-10-20,Nữ,TP Hà Nội,0,,,,TRUE
Lê Văn Nhàn,1921-01-29,nam,TP Hải Phòng,0,,,,TRUE
Nguyễn Hữu Nhân,1935-01-01,nam,Hoà Bình,0,,,,TRUE
Nguyễn Tiến Nhận,1933-08-01,nam,Vĩnh Phú,0,,,,TRUE
Đào Thị Nhật,1941-01-01,Nữ,Thái Bình,0,,,,TRUE
Hồ Thị Nhỡ,1939-01-01,Nữ,Hải Hưng,0,,,,TRUE
Phan Thị Hồng Nhự,1946-01-01,Nữ,Hà Tĩnh,0,,,,TRUE
Nguyễn Thị Nhung,1927-01-01,Nữ,TP Hà Nội,0,,,,TRUE
Y Ngông NiêkĐăm,1922-08-13,nam,Hà Bắc,0,,,,TRUE
Hoàng Minh Niên,1927-01-01,nam,Hà Bắc,0,,,,TRUE
Lê Văn Nổ,1927-01-01,nam,Hải Hưng,0,,,,TRUE
Voong Hải Noài (Voong Hải Noài),1929-01-02,nam,Quảng Ninh,0,,,,TRUE
Tống Văn Nông,1925-05-12,nam,Thái Bình,0,,,,TRUE
Hoàng Văn Ong,1934-01-01,nam,Thanh Hoá,0,,,,TRUE
Giàng A Páo,1924-01-01,nam,Nghĩa Lộ,0,,,,TRUE
Giàng A Páo,1928-02-02,nam,Sơn La,0,,,,TRUE
Giàng A Páo,1931-01-01,nam,Lai Châu,0,,,,TRUE
Lê Ngọc Phách,1925-01-01,nam,Nam Hà,0,,,,TRUE
Lâm Phái,1909-01-01,nam,Lào Cai,0,,,,TRUE
Ngô Văn Phẩm,1937-01-01,nam,Hà Tây,0,,,,TRUE
Vũ Thị Phan,1931-01-01,Nữ,Ninh Bình,0,,,,TRUE
Đinh Thị Phán,1934-01-01,Nữ,Nam Hà,0,,,,TRUE
Nguyễn Bá Phát,1921-01-01,nam,Quảng Ninh,0,,,,TRUE
Trương Tấn Phát (Trần Phong Quế),1915-06-15,nam,Hà Bắc,0,,,,TRUE
Tôn Quang Phiệt,1900-11-04,nam,Nghệ An,0,,,,TRUE
Lê Vũ Phong,1937-01-01,nam,Nghệ An,0,,,,TRUE
Nguyễn Công Phú,1920-01-01,nam,Thái Bình,0,,,,TRUE
Sùng Văn Phù,1941-01-01,nam,Lào Cai,0,,,,TRUE
Bùi Thị Phúc,1938-03-03,Nữ,TP Hà Nội,0,,,,TRUE
Nguyễn Tấn Phúc (Nguyễn Hữu Khánh),1920-01-01,nam,Bắc Thái,0,,,,TRUE
Phan Văn Phùng (Đào Bá),1933-01-10,nam,Nam Định,0,,,,TRUE
Lê Chân Phương,1925-01-25,Nữ,Nam Hà,0,,,,TRUE
Hà Thị Quân,1947-01-01,Nữ,Quảng Ninh,0,,,,TRUE
Trương Liên Quân,1918-12-22,nam,Cao Bằng,0,,,,TRUE
Tạ Quang,1923-01-01,nam,Ninh Bình,0,,,,TRUE
Trần Đức Quang,1936-01-01,nam,Hải Hưng,0,,,,TRUE
Vũ Quang,1926-03-18,nam,Hải Hưng,0,,,,TRUE
Hà Thị Quế,1921-08-15,Nữ,Ninh Bình,0,,,,TRUE
Nguyễn Quế (Hệ),1907-01-01,nam,Thái Bình,0,,,,TRUE
Nguyễn Sỹ Quế,1915-01-01,nam,Nghệ An,0,,,,TRUE
Nguyễn Văn Quế,1921-01-01,nam,Nam Hà,0,,,,TRUE
Lưu Xuân Quý,1938-01-01,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Quyết (Nguyễn Tiến Văn),1922-01-01,nam,TP Hải Phòng,0,,,,TRUE
Trần Quỳnh,1920-01-01,nam,Ninh Bình,0,,,,TRUE
Chu Thúy Quỳnh,1941-10-10,Nữ,Nam Hà,0,,,,TRUE
Nguyễn Ray (Hồ Ray),1930-01-01,nam,Vĩnh Linh,0,,,,TRUE
Lê Thị Rơi,1949-01-01,Nữ,Thái Bình,0,,,,TRUE
Hoàng Văn Sạch,1937-01-01,nam,Cao Bằng,0,,,,TRUE
Đỗ Xuân Sảng,1916-01-01,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Văn Sáu,1943-01-01,nam,Hải Hưng,0,,,,TRUE
Đào Văn Sỏi,1923-01-01,nam,TP Hà Nội,0,,,,TRUE
Hoàng Thị Thúy Sơn,1933-01-01,Nữ,TP Hải Phòng,0,,,,TRUE
Nguyễn Thị Song,1943-01-01,Nữ,Hà Bắc,0,,,,TRUE
Hoàng Sử (Hoàng Sử),1905-04-04,nam,Thanh Hoá,0,,,,TRUE
Vũ Văn Sự,1918-01-01,nam,TP Hà Nội,0,,,,TRUE
Lâm Sung,1918-03-27,nam,Lai Châu,0,,,,TRUE
Hà Đức Tài,1942-05-25,nam,Vĩnh Phú,0,,,,TRUE
La Thị Tám,1949-01-12,Nữ,Hà Tĩnh,0,,,,TRUE
Nguyễn Thị Tám,1948-01-01,Nữ,Tuyên Quang,0,,,,TRUE
Nguyễn Đức Tâm (Nguyễn Đức Kiêm),1921-01-01,nam,Quảng Ninh,0,,,,TRUE
Triệu Thị Tâm,1937-01-01,Nữ,Bắc Thái,0,,,,TRUE
Vũ Thị Minh Tâm,1937-01-01,Nữ,Hà Bắc,0,,,,TRUE
Nguyễn Thị Tân,1927-01-01,Nữ,Hải Hưng,0,,,,TRUE
Chu Văn Tấn,1910-05-01,nam,Bắc Thái,0,,,,TRUE
Hà Kế Tấn,1914-01-01,nam,Lạng Sơn,0,,,,TRUE
Bùi Quang Tạo,1913-01-01,nam,Sơn La,0,,,,TRUE
Nguyễn Tạo (Nguyễn Phú Doãn),1905-11-11,nam,Tuyên Quang,0,,,,TRUE
Hoàng Thị Thá,1939-01-01,Nữ,Lai Châu,0,,,,TRUE
Nguyễn Thị Thạc,1938-06-01,Nữ,Nam Hà,0,,,,TRUE
Trần Đăng Thạch,1942-01-01,nam,Hà Bắc,0,,,,TRUE
Trương Công Thâm,1917-05-06,nam,Nghệ An,0,,,,TRUE
Hoàng Năng Thân,1942-01-01,nam,Hải Hưng,0,,,,TRUE
Lê Thị Thân,1930-01-01,Nữ,TP Hải Phòng,0,,,,TRUE
La Thăng,1924-01-01,nam,Lạng Sơn,0,,,,TRUE
Đinh Văn Thắng,1914-01-01,nam,TP Hà Nội,0,,,,TRUE
Tôn Đức Thắng,1888-08-20,nam,TP Hà Nội,0,,,,TRUE
Triệu Hồng Thắng (Tiến Thọ),1922-01-01,nam,Bắc Thái,0,,,,TRUE
Bàn Chí Thanh (Hàm),1927-01-07,nam,Tuyên Quang,0,,,,TRUE
Trịnh Thị Thanh,1947-01-01,Nữ,Thanh Hoá,0,,,,TRUE
Cổ Kim Thành,1918-01-01,nam,Quảng Bình,0,,,,TRUE
Đinh Văn Thành,1920-01-01,nam,Sơn La,0,,,,TRUE
Vương Văn Thành (Lê Quý Quỳnh),1923-06-27,nam,Hải Hưng,0,,,,TRUE
Hoàng Thị Minh Thảo,1935-01-01,Nữ,Thái Bình,0,,,,TRUE
Nguyễn Thị Thảo,1948-01-01,Nữ,Nghệ An,0,,,,TRUE
Dương Văn Thập,1938-01-01,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Thị Thập (Nguyễn Thi Ngọc Tốt),1908-10-10,Nữ,TP Hà Nội,0,,,,TRUE
Trịnh Thị The,1943-01-01,Nữ,TP Hải Phòng,0,,,,TRUE
